year,region,type,fishery,CWT_catch,tot_catch
1975,CCST,Commercial,Net,1433.58,78747
1975,CCST,Rec,Rec,14.77,NA
1975,CCST,Commercial,Troll,1084.34,75192
1975,ISC,Commercial,Net,3145.67,126155
1975,ISC,Other,Other,288.68,NA
1975,ISC,Rec,Rec,17323.57,NA
1975,ISC,Commercial,Troll,3840.82,220545
1975,NCST,Commercial,Net,236.74,37232
1975,NCST,Other,Other,396.37,NA
1975,NCST,Commercial,Troll,1807.4,227613
1975,WCVI,Commercial,Net,472.96999999999997,66090
1975,WCVI,Rec,Rec,890.47,NA
1975,WCVI,Commercial,Troll,534.43,548322
1976,CCST,Commercial,Net,1568.1299999999999,56030
1976,CCST,Commercial,Troll,1997.78,94801
1976,ISC,Commercial,Net,3251.45,142214
1976,ISC,Other,Other,18.79,NA
1976,ISC,Rec,Rec,17072.83,NA
1976,ISC,Commercial,Troll,7420.78,259503
1976,NCST,Commercial,Net,205.45,21490
1976,NCST,Other,Other,301.05,NA
1976,NCST,Commercial,Troll,2900.58,189574
1976,WCVI,Commercial,Net,346.26,77620
1976,WCVI,Rec,Rec,2917.59,NA
1976,WCVI,Commercial,Troll,3280.09,657774
1977,CCST,Commercial,Net,8926.45,51263
1977,CCST,Rec,Rec,10.29,NA
1977,CCST,Commercial,Troll,6505.22,74449
1977,ISC,Commercial,Net,4129.82,163971
1977,ISC,Rec,Rec,13791.24,NA
1977,ISC,Commercial,Troll,7472.1500000000005,311666
1977,NCST,Commercial,Net,3727.77,60830
1977,NCST,Other,Other,3.45,NA
1977,NCST,Commercial,Troll,5871.94,131122
1977,WCVI,Commercial,Net,540.16,108570
1977,WCVI,Rec,Rec,5368.83,NA
1977,WCVI,Commercial,Troll,6792.16,567854
1978,CCST,Commercial,Net,4832.79,61937
1978,CCST,Rec,Rec,48.01,NA
1978,CCST,Commercial,Troll,7036.46,61217
1978,ISC,Commercial,Net,14549.25,140862
1978,ISC,Rec,Rec,32484.52,NA
1978,ISC,Commercial,Troll,15880.7,255587
1978,NCST,Commercial,Net,250.20999999999998,54749
1978,NCST,Commercial,Troll,8454.55,144586
1978,WCVI,Commercial,Net,5368.81,77327
1978,WCVI,Rec,Rec,6251.25,NA
1978,WCVI,Commercial,Troll,6996.12,556083
1979,CCST,Commercial,Net,8145.52,80918
1979,CCST,Rec,Rec,66.88,NA
1979,CCST,Commercial,Troll,11886.66,69488
1979,ISC,Commercial,Net,8357.31,96492
1979,ISC,Other,Other,878.73,NA
1979,ISC,Rec,Rec,24204.94,NA
1979,ISC,Commercial,Troll,28795.73,296824
1979,NCST,Commercial,Net,5470.94,59897
1979,NCST,Other,Other,65.36,NA
1979,NCST,Rec,Rec,257.92,NA
1979,NCST,Commercial,Troll,12974.09,148726
1979,WCVI,Commercial,Net,993.98,95268
1979,WCVI,Rec,Rec,5416.25,NA
1979,WCVI,Commercial,Troll,10099.970000000001,480768
1980,CCST,Commercial,Net,7593.59,51008
1980,CCST,Rec,Rec,1327.17,NA
1980,CCST,Commercial,Troll,12973.38,59078
1980,ISC,Commercial,Net,6209.23,88973
1980,ISC,Other,Other,19.009999999999998,NA
1980,ISC,Rec,Rec,21826.31,NA
1980,ISC,Commercial,Troll,16776.43,311933
1980,NCST,Commercial,Net,4484.8,38794
1980,NCST,Other,Other,86.81,NA
1980,NCST,Rec,Rec,4.15,NA
1980,NCST,Commercial,Troll,13659.68,163563
1980,WCVI,Commercial,Net,15863.85,66928
1980,WCVI,Rec,Rec,4473.67,NA
1980,WCVI,Commercial,Troll,16074.24,488709
1981,CCST,Commercial,Net,4193.87,32248
1981,CCST,Rec,Rec,1185.12,NA
1981,CCST,Commercial,Troll,9413.87,40978
1981,ISC,Commercial,Net,6782.9,71843
1981,ISC,Other,Other,32.83,NA
1981,ISC,Rec,Rec,29658.03,73513
1981,ISC,Commercial,Troll,11520.24,277568
1981,NCST,Commercial,Net,4929.43,58721
1981,NCST,Rec,Rec,92.5,NA
1981,NCST,Commercial,Troll,15478.17,151731
1981,WCVI,Commercial,Net,12918.48,102131
1981,WCVI,Rec,Rec,5191.71,4128
1981,WCVI,Commercial,Troll,6503.53,398135
