year,region,type,fishery,CWT_catch,tot_catch
1975,CCST,Commercial,Net,192.09,159500
1975,CCST,Rec,Rec,6.21,NA
1975,CCST,Commercial,Troll,50.06,64287
1975,ISC,Commercial,Net,6595.38,181107
1975,ISC,Other,Other,322.31,NA
1975,ISC,Rec,Rec,32256.4,NA
1975,ISC,Commercial,Troll,4070.49,221813
1975,WCVI,Commercial,Net,1862.9099999999999,484660
1975,WCVI,Rec,Rec,127.54,NA
1975,WCVI,Commercial,Troll,4281.18,785342
1976,CCST,Commercial,Net,2012.9999999999998,216965
1976,CCST,Commercial,Troll,2556.52,277493
1976,ISC,Commercial,Net,19627.16,230735
1976,ISC,Other,Other,2419.45,NA
1976,ISC,Rec,Rec,55280.76,NA
1976,ISC,Commercial,Troll,17717.03,405115
1976,NCST,Commercial,Net,94.33,86463
1976,NCST,Other,Other,147.35,NA
1976,NCST,Commercial,Troll,163.51999999999998,336666
1976,WCVI,Commercial,Net,3879.95,288293
1976,WCVI,Rec,Rec,727.61,NA
1976,WCVI,Commercial,Troll,17865.44,1643624
1977,CCST,Commercial,Net,33080.06,103271
1977,CCST,Commercial,Troll,3328.81,120338
1977,ISC,Commercial,Net,36455.45,280525
1977,ISC,Rec,Rec,67706.95999999999,NA
1977,ISC,Commercial,Troll,15220.45,297369
1977,NCST,Commercial,Net,144.1,130040
1977,NCST,Commercial,Troll,344.9,201149
1977,WCVI,Commercial,Net,6235.58,556638
1977,WCVI,Rec,Rec,679.35,NA
1977,WCVI,Commercial,Troll,21677.579999999998,1575193
1978,CCST,Commercial,Net,2825.1,177877
1978,CCST,Commercial,Troll,5134.1,174305
1978,ISC,Commercial,Net,38794,274006
1978,ISC,Rec,Rec,92765.04,NA
1978,ISC,Commercial,Troll,54426.8,517337
1978,NCST,Other,Other,109.78,NA
1978,NCST,Commercial,Troll,1794.75,515709
1978,WCVI,Commercial,Net,5624.67,133507
1978,WCVI,Rec,Rec,607.77,NA
1978,WCVI,Commercial,Troll,41454.28,1362105
1979,CCST,Commercial,Net,1650.2,142243
1979,CCST,Rec,Rec,6.15,NA
1979,CCST,Commercial,Troll,1308.02,143297
1979,ISC,Commercial,Net,17687.04,161088
1979,ISC,Other,Other,3121.81,NA
1979,ISC,Rec,Rec,135398.63,NA
1979,ISC,Commercial,Troll,35214.21,399156
1979,NCST,Commercial,Net,1030.82,140245
1979,NCST,Other,Other,4.32,NA
