year,region,type,fishery,CWT_catch
1975,CCST,Commercial,Net,192.09
1975,CCST,Rec,Rec,6.21
1975,CCST,Commercial,Troll,50.06
1975,ISC,Commercial,Net,6595.38
1975,ISC,Other,Other,322.31
1975,ISC,Rec,Rec,32256.4
1975,ISC,Commercial,Troll,4070.49
1975,WCVI,Commercial,Net,1862.9099999999999
1975,WCVI,Rec,Rec,127.54
1975,WCVI,Commercial,Troll,4281.18
1976,CCST,Commercial,Net,2012.9999999999998
1976,CCST,Commercial,Troll,2556.52
1976,ISC,Commercial,Net,19627.16
1976,ISC,Other,Other,2419.45
1976,ISC,Rec,Rec,55280.76
1976,ISC,Commercial,Troll,17717.03
1976,NCST,Commercial,Net,94.33
1976,NCST,Other,Other,147.35
1976,NCST,Commercial,Troll,163.51999999999998
1976,WCVI,Commercial,Net,3879.95
1976,WCVI,Rec,Rec,727.61
1976,WCVI,Commercial,Troll,17865.44
1977,CCST,Commercial,Net,33080.06
1977,CCST,Commercial,Troll,3328.81
1977,ISC,Commercial,Net,36455.45
1977,ISC,Rec,Rec,67706.95999999999
1977,ISC,Commercial,Troll,15220.45
1977,NCST,Commercial,Net,144.1
1977,NCST,Commercial,Troll,344.9
1977,WCVI,Commercial,Net,6235.58
1977,WCVI,Rec,Rec,679.35
1977,WCVI,Commercial,Troll,21677.579999999998
1978,CCST,Commercial,Net,2825.1
1978,CCST,Commercial,Troll,5134.1
1978,ISC,Commercial,Net,38794
1978,ISC,Rec,Rec,92765.04
1978,ISC,Commercial,Troll,54426.8
1978,NCST,Other,Other,109.78
1978,NCST,Commercial,Troll,1794.75
1978,WCVI,Commercial,Net,5624.67
1978,WCVI,Rec,Rec,607.77
1978,WCVI,Commercial,Troll,41454.28
1979,CCST,Commercial,Net,1650.2
1979,CCST,Rec,Rec,6.15
1979,CCST,Commercial,Troll,1308.02
1979,ISC,Commercial,Net,17687.04
1979,ISC,Other,Other,3121.81
1979,ISC,Rec,Rec,135398.63
1979,ISC,Commercial,Troll,35214.21
1979,NCST,Commercial,Net,1030.82
1979,NCST,Other,Other,4.32
1979,NCST,Commercial,Troll,926.1800000000001
1979,WCVI,Commercial,Net,1801.91
1979,WCVI,Rec,Rec,433.91
1979,WCVI,Commercial,Troll,40843.96
1980,CCST,Commercial,Net,2207.25
1980,CCST,Commercial,Troll,5915.69
1980,ISC,Commercial,Net,43495.74
1980,ISC,Other,Other,970.23
1980,ISC,Rec,Rec,159148.64
1980,ISC,Commercial,Troll,45774.53
1980,NCST,Commercial,Net,380.32
1980,NCST,Other,Other,54.95
1980,NCST,Commercial,Troll,1480.63
1980,WCVI,Commercial,Net,3978.1200000000003
1980,WCVI,Rec,Rec,563.88
1980,WCVI,Commercial,Troll,44340.79
1981,CCST,Commercial,Net,809.4399999999999
1981,CCST,Rec,Rec,7.27
1981,CCST,Commercial,Troll,3178.39
1981,ISC,Commercial,Net,55853.83
1981,ISC,Other,Other,508.88
1981,ISC,Rec,Rec,88878.27
1981,ISC,Commercial,Troll,42558.08
1981,NCST,Commercial,Net,137.73
1981,NCST,Commercial,Troll,833.74
1981,WCVI,Commercial,Net,10934.15
1981,WCVI,Rec,Rec,965.71
1981,WCVI,Commercial,Troll,46042.62
1982,CCST,Commercial,Net,1444.96
1982,CCST,Commercial,Troll,3283.7599999999998
1982,ISC,Commercial,Net,55143.67
1982,ISC,Other,Other,350.84
1982,ISC,Rec,Rec,81060.74
1982,ISC,Commercial,Troll,36241.31
1982,NCST,Commercial,Net,87.07
1982,NCST,Commercial,Troll,614.37
1982,WCVI,Commercial,Net,4740.59
1982,WCVI,Rec,Rec,1799.07
1982,WCVI,Commercial,Troll,52526
1983,CCST,Commercial,Net,1912.92
1983,CCST,Rec,Rec,72.26
1983,CCST,Commercial,Troll,7804.52
1983,ISC,Commercial,Net,83831.43
1983,ISC,Other,Other,105.63
1983,ISC,Rec,Rec,88621.56
1983,ISC,Commercial,Troll,59556.49
1983,NCST,Commercial,Net,424.22
1983,NCST,Rec,Rec,24.64
1983,NCST,Commercial,Troll,4421.01
1983,WCVI,Commercial,Net,846.6899999999999
1983,WCVI,Rec,Rec,2002.8999999999999
1983,WCVI,Commercial,Troll,69183.06
