stat_area,project,stock,year,species,run,stage,obj,target_no
29F,Deadman R,Deadman R,2014,Coho,Fall,Smolt 1+,Conservation,15000
29J,Thompson R N,Dunn Cr,2014,Coho,Fall,Smolt 1+,Stewardship,20000
29K,Kingfisher Cr/TOMF,Shuswap R Low,2014,Chinook,Summer,Fry,Stewardship,50000
29F,Gates Sp Ch,Gates Cr,2014,Sockeye,Summer,Fry,Harvest,13500000
29G,Horsefly Sp Ch,Horsefly Ch,2014,Sockeye,Summer,Fry,Harvest,22500000
29I,Nadina Sp Ch,Nadina R,2014,Sockeye,Summer,Fry,Harvest,22500000
29K,Shuswap R,Shuswap R Low,2014,Chinook,Summer,Smolt 0+,Assessment,530000
29K,Shuswap R,Shuswap R Middle,2014,Chinook,Summer,Smolt 0+,Assessment,170000
29K,Shuswap R,Shuswap R Middle,2014,Chinook,Summer,Smolt 1+,Rebuilding,20000
29F,Spius Cr,Coldwater R,2014,Chinook,Spring,Fry,Rebuilding,30000
29F,Spius Cr,Coldwater R,2014,Chinook,Spring,Smolt 1+,Rebuilding,65000
29F,Spius Cr,Nicola R,2014,Chinook,Spring,Fry,Assessment/Rebuilding,50000
29F,Spius Cr,Nicola R,2014,Chinook,Spring,Smolt 1+,Assessment/Rebuilding,200000
29K,Spius Cr,Salmon R/TOMF,2014,Chinook,Spring,Fry,Rebuilding,70000
29F,Spius Cr,Spius Cr,2014,Chinook,Spring,Fry,Rebuilding,30000
29F,Spius Cr,Spius Cr,2014,Chinook,Spring,Smolt 1+,Rebuilding,65000
29G,Spius Cr,Chilko R,2014,Chinook,Summer,Fry,Assessment/Rebuilding,50000
29F,Spius Cr,Coldwater R,2014,Coho,Fall,Fry,Assessment/Conservation,40000
29F,Spius Cr,Coldwater R,2014,Coho,Fall,Smolt 1+,Assessment/Conservation,65000
29F,Spius Cr,Deadman R,2014,Coho,Fall,Fry,Conservation,20000
29K,Spius Cr,Eagle R,2014,Coho,Fall,Fry,Assessment/Conservation,20000
29K,Spius Cr,Eagle R,2014,Coho,Fall,Smolt 1+,Assessment/Conservation,65000
29K,Spius Cr,Salmon R/TOMF,2014,Coho,Fall,Fry,Conservation,30000
29K,Spius Cr,Salmon R/TOMF,2014,Coho,Fall,Smolt 1+,Conservation,65000
7,Emily Lk,Tankeeah R,2014,Sockeye,Summer,Fry,Rebuilding,80000
7,Victor Cr,Lagoon Cr/CCST,2014,Sockeye,Fall,Fry,Rebuilding,65000
6,Hartley Bay Cr,Hartley Bay Cr,2014,Chum,Fall,Fry,Rebuilding,20000
6,Hartley Bay Cr,Hartley Bay Cr,2014,Coho,Fall,Smolt 1+,Harvest,30000
6,Hartley Bay Cr,Hartley Bay Cr,2014,Coho,Fall,Fry,Harvest,100000
6,Hartley Bay Cr,Hartley Bay Cr,2014,Coho,Fall,Fry,Harvest,60000
6,Hartley Bay Cr,Hartley Bay Cr,2014,Coho,Fall,Fry,Harvest,70000
6,Hartley Bay Cr,Hartley Bay Cr,2014,Coho,Fall,Fry,Harvest,80000
7,Heiltsuk,McLaughlin Bay Cr,2014,Chum,Fall,Seapen,Harvest,1800000
7,Heiltsuk,McLaughlin Bay Cr,2014,Coho,Fall,Seapen,Harvest,43200
7,Kitasoo Cr,Kitasoo Cr,2014,Chum,Fall,Seapen,Harvest,1080000
7,Kitasoo Cr,Kitasoo Cr,2014,Coho,Fall,Fry,Harvest,10000
7,Kitasoo Cr,Kitasoo Cr,2014,Coho,Fall,Seapen,Harvest,43200
1,Masset,Yakoun R,2014,Chinook,Summer,Smolt 0+,Rebuilding,225000
1,Masset,Mamin R,2014,Coho,Fall,Fry,Harvest,36000
1,Masset,Yakoun R,2014,Coho,Fall,Smolt 1+,Harvest,90000
9,Oweekeno,Wannock R,2014,Chum,Fall,Fry,Stewardship,45000
4,Toboggan Cr,Bulkley R Up,2014,Chinook,Spring,Smolt 1+,Rebuilding,43000
4,Toboggan Cr,Toboggan Cr,2014,Coho,Summer,Smolt 1+,Assessment,35000
4,Terrace,Kitsum Abv Canyon,2014,Chinook,Summer,Fry,Assessment,100000
4,Terrace,Kitsum Abv Canyon,2014,Chinook,Summer,Smolt 1+,Assessment,30000
4,Terrace,Kitsum Bel Canyon,2014,Chinook,Summer,Fry,Assessment,100000
4,Terrace,Kitsum Bel Canyon,2014,Chinook,Summer,Smolt 1+,Assessment,30000
4,Fulton R,Fulton Ch #1,2014,Sockeye,Summer,Fry,Harvest,3300000
4,Fulton R,Fulton Ch #2,2014,Sockeye,Summer,Fry,Harvest,87000000
4,Fulton R,Fulton R,2014,Sockeye,Summer,Fry,Harvest,45000000
6,Kitimat R,Hirsch Cr,2014,Chinook,Spring,Smolt 0+,Harvest,200000
6,Kitimat R,Kitimat R,2014,Chinook,Spring,Smolt 0+,Harvest,2000000
6,Kitimat R,Kitimat R,2014,Chum,Summer,Fry,Harvest,1700000
6,Kitimat R,Kitimat R,2014,Chum,Summer,Fry,Rebuilding,20000
6,Kitimat R,Kitimat R,2014,Coho,Fall,Fry,Harvest,100000
6,Kitimat R,Kitimat R,2014,Coho,Fall,Smolt 1+,Harvest,500000
4,Pinkut Cr,Pinkut Ch,2014,Sockeye,Summer,Fry,Harvest,45000000
4,Pinkut Cr,Pinkut Cr,2014,Sockeye,Summer,Fry,Harvest,4500000
8,Snootli Cr,Atnarko R Low,2014,Chinook,Summer,Smolt 0+,Assessment/Harvest,950000
8,Snootli Cr,Atnarko R Up,2014,Chinook,Summer,Smolt 0+,Assessment/Harvest,950000
9,Snootli Cr,Chuckwalla R,2014,Chinook,Summer,Smolt 0+,Rebuilding,65000
9,Snootli Cr,Kilbella R,2014,Chinook,Summer,Seapen,Rebuilding,65000
8,Snootli Cr,Noosgulch R,2014,Chinook,Summer,Smolt 0+,Rebuilding,43000
8,Snootli Cr,Nusatsum R,2014,Chinook,Summer,Smolt 0+,Rebuilding,86000
8,Snootli Cr,Salloomt R,2014,Chinook,Summer,Smolt 0+,Rebuilding,86000
9,Snootli Cr,Wannock R,2014,Chinook,Summer,Seapen,Harvest,225000
9,Snootli Cr,Wannock R,2014,Chinook,Summer,Smolt 0+,Harvest,25000
8,Snootli Cr,Fish Cr+Airport Ch,2014,Chum,Summer,Fry,Harvest,1656000
8,Snootli Cr,Salloomt R,2014,Chum,Summer,Fry,Harvest,1656000
8,Snootli Cr,Snootli Cr,2014,Chum,Summer,Fry,Harvest,1656000
8,Snootli Cr,Thorsen Cr/CCST,2014,Chum,Summer,Fry,Harvest,1656000
9,Snootli Cr,Johnston Cr,2014,Coho,Fall,Seapen,Harvest,25000
8,Snootli Cr,Salloomt R,2014,Coho,Fall,Smolt 1+,Harvest,25000
8,Snootli Cr,Thorsen Cr/CCST,2014,Coho,Fall,Smolt 1+,Harvest,25000
8,Snootli Cr,Atnarko R,2014,Pink,Fall,Fry,Rebuilding,450000
8,Snootli Cr,Lonesome Lk,2014,Sockeye,Fall,Fry,Rebuilding,86000
8,Snootli Cr,Atnarko R,2014,Sockeye,Summer,Fry,Rebuilding,86000
23,Huu-ay-aht,Sugsaw Cr,2014,Chum,Fall,Fry,Rebuilding,450000
23,Huu-ay-aht,Pachena R,2014,Coho,Fall,Fry,Rebuilding,20000
24,Clayoquot,Kennedy R Low,2014,Chinook,Fall,Smolt 0+,Rebuilding,380000
24,Clayoquot,Kennedy R Low,2014,Chinook,Fall,Smolt 0+,Rebuilding,100000
18,Cowichan R,Cowichan R,2014,Chinook,Fall,Fry,Assessment/Conservation,150000
18,Cowichan R,Cowichan R,2014,Chinook,Fall,Smolt 0+,Assessment/Conservation,550000
12,Gwa'ni,Nimpkish R Low,2014,Chinook,Fall,Smolt 0+,Rebuilding,112500
12,Gwa'ni,Nimpkish R Low,2014,Chum,Fall,Fry,Rebuilding,9000000
17,Nanaimo R,Chemainus R,2014,Chinook,Fall,Fry,Rebuilding,67500
17,Nanaimo R,Nanaimo R,2014,Chinook,Fall,Fry,Rebuilding,10000
17,Nanaimo R,Nanaimo R,2014,Chinook,Fall,Smolt 0+,Rebuilding,415000
17,Nanaimo R,First Lk/GSVI,2014,Chinook,Summer,Smolt 0+,Rebuilding,225000
17,Nanaimo R,Chemainus R,2014,Chum,Fall,Eyed Egg,Rebuilding,400000
17,Nanaimo R,Nanaimo R,2014,Chum,Fall,Fry,Harvest,900000
17,Nanaimo R,Nanaimo R,2014,Coho,Fall,Fry,Rebuilding,50000
17,Nanaimo R,Nanaimo R,2014,Coho,Fall,Smolt 1+,Rebuilding,84000
17,Nanaimo R,Nanaimo R,2014,Coho,Fall,Fry,Rebuilding,40000
17,Nanaimo R,Nanaimo R,2014,Coho,Fall,Fry,Rebuilding,10000
17,Nanaimo R,Nanaimo R,2014,Pink,Fall,Seapen,Harvest,1080000
17,Nanaimo R,Nanaimo R,2014,Pink,Fall,Fry,Harvest,60000
12,P Hardy/Quatse,Quatse R,2014,Chum,Fall,Fry,Stewardship,100000
12,P Hardy/Quatse,Cluxewe R,2014,Coho,Fall,Fry,Rebuilding,30000
12,P Hardy/Quatse,Cluxewe R,2014,Coho,Fall,Smolt 1+,Harvest,100000
12,P Hardy/Quatse,Quatse R,2014,Coho,Fall,Fry,Rebuilding,15000
12,P Hardy/Quatse,Quatse R,2014,Coho,Fall,Smolt 1+,Harvest,100000
27,P Hardy/Quatse,Waukwaas Cr,2014,Coho,Fall,Fry,Rebuilding,30000
27,P Hardy/Quatse,Waukwaas Cr,2014,Coho,Fall,Smolt 1+,Harvest,100000
12,P Hardy/Quatse,Cluxewe R,2014,Pink,Fall,Fry,Rebuilding,800000
12,P Hardy/Quatse,Quatse R,2014,Pink,Fall,Fry,Harvest,1350000
15,Powell R,Lang Cr,2014,Chinook,Fall,Fry,Harvest,150000
15,Powell R,Lang Cr,2014,Chinook,Fall,Smolt 0+,Harvest,680000
15,Powell R,Lang Cr,2014,Chum,Fall,Fry,Rebuilding,680000
15,Powell R,Lang Cr,2014,Chum,Fall,Fry,Rebuilding,70000
15,Powell R,Lang Cr,2014,Coho,Summer,Fry,Harvest,22500
15,Powell R,Lang Cr,2014,Coho,Summer,Fry,Harvest,215000
20,San Juan R,San Juan R,2014,Chinook,Fall,Seapen,Harvest,40000
20,San Juan R,San Juan R,2014,Chinook,Fall,Smolt 0+,Rebuilding,860000
