prod_area,obj,median_CPT,min,max
CCST,Harvest,1.808402817711328,0,11.78483310172712
CCST,Rebuilding,0.07624297526577656,0,11.583184257602863
CCST,Unknown,4.345148169668796,2.9614061902942304,12.77348534815792
ISC,Assessment,1.5517866703511163,0,11.013457269700332
ISC,Harvest,0.952259261113204,0,32.818341639650974
ISC,Rebuilding,0.6992859032002114,0,9.831070889894418
ISC,Conservation,0.9041512212446761,0,5.8262291659417516
ISC,Unknown,1.876074768818642,0,14.642098519842207
NCST,Assessment,0.5391961760188999,0,18.72222222222222
NCST,Harvest,1.2416125593986007,0,7.460462086091152
NCST,Rebuilding,1.240627612143603,0,9.2768801460709
NCST,Unknown,NA,NA,NA
WCVI,Assessment,1.8831503530745837,0,4.263760105380066
WCVI,Harvest,3.2492082695797606,0,28.668132851231963
WCVI,Rebuilding,2.8664898382443194,0,23.12667162708388
WCVI,Conservation,3.214405821027851,0,15.35141973573236
WCVI,Unknown,6.6088491004562275,0,10.624040920716112
