species,relY,region,CWT_rate
Chinook,1968,ISC,0
Chinook,1969,ISC,0
Chinook,1970,ISC,0
Chinook,1971,ISC,0
Chinook,1972,ISC,0.46180525329533634
Chinook,1973,ISC,0.38635909154290915
Chinook,1973,WCVI,0.9871390080964189
Chinook,1974,CCST,0
Chinook,1974,ISC,0.5908479338720108
Chinook,1974,WCVI,0.9990721479218897
Chinook,1975,ISC,1
Chinook,1975,WCVI,1
Chinook,1976,CCST,1
Chinook,1976,ISC,1
Chinook,1976,NCST,1
Chinook,1976,WCVI,1
Chinook,1977,CCST,1
Chinook,1977,ISC,1
Chinook,1977,NCST,1
Chinook,1977,WCVI,1
Chinook,1978,CCST,0.9621180938217837
Chinook,1978,ISC,1
Chinook,1978,NCST,0.8219271073993577
Chinook,1978,WCVI,0.9702962958418571
Chinook,1979,CCST,0.39928214215988106
Chinook,1979,ISC,0.9998453173008763
Chinook,1979,NCST,0.9946711175440198
Chinook,1979,WCVI,0.7348248227123203
Chinook,1980,ISC,0.9612879857583322
Chinook,1980,NCST,0.9100078424538166
Chinook,1980,WCVI,0.9513436629925861
Chinook,1981,ISC,0.9795686564917178
Chinook,1981,NCST,0.8635603080503075
Chinook,1981,WCVI,0.9958275138965093
Chinook,1982,CCST,0.7877418264763031
Chinook,1982,ISC,0.9837549303214536
Chinook,1982,NCST,0.9048233768940883
Chinook,1982,WCVI,0.9996106087582336
Chinook,1983,CCST,0.966028130735922
Chinook,1983,ISC,0.9584028352743269
Chinook,1983,NCST,0.43086048840613206
Chinook,1983,WCVI,0.9967640906808674
Chinook,1984,CCST,0.939861464270057
Chinook,1984,ISC,0.9516017698210676
Chinook,1984,NCST,0.8143756492435376
Chinook,1984,WCVI,0.9839375348493262
Chinook,1985,CCST,0.9050850243581253
Chinook,1985,ISC,0.9468795178253266
Chinook,1985,NCST,0.9011893813202849
Chinook,1985,WCVI,0.9512090560774936
Chinook,1986,CCST,0.9235085658083317
Chinook,1986,ISC,0.9217345182431664
Chinook,1986,NCST,0.6919995545534802
Chinook,1986,WCVI,0.9706919014745908
Chinook,1987,CCST,0.8302230449441445
Chinook,1987,ISC,0.905439431841471
Chinook,1987,NCST,0.8042116942946514
Chinook,1987,WCVI,0.8892618661344672
Chinook,1988,CCST,0.8038616170405402
Chinook,1988,ISC,0.9400384708403221
Chinook,1988,NCST,0.8156267198476417
Chinook,1988,WCVI,0.8016591938235281
Chinook,1989,CCST,0.8336186419702919
Chinook,1989,ISC,0.9270820563073882
Chinook,1989,NCST,0.8215395839904337
Chinook,1989,WCVI,0.7225658502774291
Chinook,1990,CCST,0.9162024406028382
Chinook,1990,ISC,0.9036564666959074
Chinook,1990,NCST,0.8204288341634554
Chinook,1990,WCVI,0.8315343308688636
Chinook,1991,CCST,0.9062556871626488
Chinook,1991,ISC,0.9197630696252121
Chinook,1991,NCST,0.8484657197180271
Chinook,1991,WCVI,0.8710947975108073
Chinook,1992,CCST,1
Chinook,1992,ISC,0.9231247311474985
Chinook,1992,NCST,0.757423614182896
Chinook,1992,WCVI,0.8034497191568517
Chinook,1993,CCST,0.8873848701514296
Chinook,1993,ISC,0.9199852139954892
Chinook,1993,NCST,0.735616541875188
Chinook,1993,WCVI,0.8336907128370341
Chinook,1994,CCST,0.8768273300629669
Chinook,1994,ISC,0.865630469420297
Chinook,1994,NCST,0.7873065372048375
Chinook,1994,WCVI,0.7999581372375797
Chinook,1995,CCST,0.5638909436491458
Chinook,1995,ISC,0.8856641474304844
Chinook,1995,NCST,0.7116996552271955
Chinook,1995,WCVI,0.8529849970100517
Chinook,1996,CCST,0.8492488257895431
Chinook,1996,ISC,0.8543169488442975
Chinook,1996,NCST,0.8349053808587346
Chinook,1996,WCVI,0.8722850602853389
Chinook,1997,CCST,0.870517012610736
Chinook,1997,ISC,0.8090765791238893
Chinook,1997,NCST,0.8627072699401218
Chinook,1997,WCVI,0.8551533732826487
Chinook,1998,CCST,0.8024949971076186
Chinook,1998,ISC,0.8412089675788014
Chinook,1998,NCST,0.759315763406899
Chinook,1998,WCVI,0.8560139907243348
Chinook,1999,CCST,0.8954057711767748
Chinook,1999,ISC,0.7667328597034531
Chinook,1999,NCST,0.8351563748289905
Chinook,1999,WCVI,0.7655387946888856
