year,NCST_Net,NCST_Troll,NCST_Rec,CCST_Net,CCST_Troll,CCST_Rec,WCVI_Net,WCVI_Troll,WCVI_Rec,ISC_Net,ISC_Troll,ISC_Rec
1982,245431,5829,NA,610885,3103,NA,535945,73418,NA,1485872,5923,NA
1983,236886,10245,NA,442940,5028,NA,8585,8976,NA,270585,16046,NA
1984,857325,61521,NA,332639,7925,NA,333569,12920,NA,231020,6382,NA
1985,1018979,146887,NA,968189,28521,NA,1875410,221824,NA,1149229,61156,NA
1986,626947,50721,NA,2231144,56235,NA,536724,264359,175,1711733,102458,707
1987,371348,62115,NA,898341,5489,NA,430190,15800,128,480718,3106,3416
1988,832210,148132,NA,1917525,11341,NA,1834672,80485,171,1306206,36841,4634
1989,401052,71949,NA,366304,4454,NA,315417,23409,60,607920,18602,7819
1990,448135,32621,NA,1073110,7811,NA,26055,8382,178,1560396,18636,2748
1991,551297,45760,NA,448379,2980,NA,495973,12934,395407,737815,53568,3549
1992,389478,63633,NA,285307,4919,NA,1230090,45380,1395,1964002,23588,4754
1993,796921,260917,NA,313172,683,NA,880772,8376,173,1943492,16435,1692
1994,626947,56872,NA,788810,4591,NA,1026727,10312,112,1782953,25250,4172
1995,670612,176150,NA,962568,8012,NA,238643,31017,443,331846,56082,3596
1996,521750,25886,NA,371723,893,NA,392247,4592,396,81065,44,3073
1997,283810,42691,NA,302360,366,NA,1133326,267,317,94396,3394,1444
1998,375590,9378,NA,1166713,339,NA,939034,192,133,2134675,116928,3579
1999,369876,1791,NA,301832,81,NA,211375,1707,21,36220,125,790
2000,215618,4864,NA,97108,NA,NA,26836,539,38,175200,1773,2638
2001,102942,2993,NA,510209,299,NA,198787,279,62,304262,8699,4578
2002,176009,973,NA,777374,116,NA,614894,2197,509,1099305,35516,12196
2003,80662,200,NA,1340078,3770,NA,528734,3493,1354,927068,85818,5251
2004,172284,143,NA,1397720,0,NA,365521,3562,368,1263979,106193,19727
2005,178219,53,NA,575114,1,NA,801614,2254,512,858629,49017,10529
2006,143434,160,NA,426758,0,NA,596091,1642,372,1065757,68631,9631
2007,24516,746,NA,272333,4,NA,209061,871,485,503408,40424,5657
2008,16714,54,NA,12806,0,NA,60117,311,253,333995,21262,2937
2009,50747,80,NA,73772,NA,NA,8,168,432,546151,67939,177
2010,23990,92,NA,14793,0,NA,14056,400,78,60956,394,927
2011,0,10,NA,353120,0,NA,301056,234,484,1133246,106691,571
2012,40188,41,NA,341025,0,NA,26885,233,191,593947,27481,437
2013,53922,304,838.06,547620,0,118.62,17152,130,720.99,697385,42375,16547.09
2014,31219,123,1459.16,229205,0,259.82,7,1170,749.1,409807,1566,10394.5
2015,224742,64,1154.98,985038,0,506.95,170571,1014,1226.72,807427,47258,8435.15
2016,69126,19,2615.18,503378,0,4353.84,420008,461,663.23,2158578,65010,11380.15
2017,59496,340,1133.55,334241,0,744.22,56486,156,766.59,771233,17580,5107.13
2018,46874,3175,869.0400000000001,452439,0,198.25,27525,35,807.66,192104,2032,1990.23
2019,21045,902,518.5400000000001,146034,0,160.23000000000002,6843,1,245,0,NA,665.01
2020,1751,25,115.5,13155,0,11.41,9042,1,363.32,186644,12771,2884.18
