year,region,Exp CWT,Total Hatchery,Total Catch,Enhanced Contribution
1975,NCST,2440.51,NA,264845,NA
1976,NCST,3407.08,NA,211064,NA
1977,NCST,9603.16,NA,191952,NA
1978,NCST,8704.759999999998,NA,199335,NA
1979,NCST,18768.31,18768.31,208623,0.0899628037177109
1980,NCST,18235.44,18235.44,202357,0.09011519245689548
1981,NCST,20500.1,24941.506145069157,210452,0.11851398962741698
1982,NCST,30647.4,30811.59134857827,255817,0.1204438772582677
1983,NCST,24937.879999999997,27404.027566131233,189576,0.14455430838360991
1984,NCST,27053.38,31327.725171944774,230369,0.13598932656713697
1985,NCST,25352.75,28019.556796848316,257166,0.10895513713651228
1986,NCST,12710.94,29501.28949401037,195609,0.1508176489528108
1987,NCST,15477.640000000001,19005.528977170386,218572,0.08695317322058813
1988,NCST,19181.49,21284.638276472164,192689,0.11046109677496985
1989,NCST,32350.08,46748.70061278323,256286,0.1824083274653443
1990,NCST,48682.54,60534.48407349748,193128,0.31344229771704507
1991,NCST,55591.229999999996,68157.68616602504,249791,0.2728588546666014
1992,NCST,44610.71,54301.35183908492,185563,0.29263027564269234
1993,NCST,40298.25,49118.51987880196,206320,0.238069600032968
1994,NCST,30634.56,36105.83113502908,190475,0.18955679818889137
1995,NCST,13230.37,17467.59640478445,84877,0.20579893734208854
1996,NCST,3757.3999999999996,5107.824234650663,30597,0.1669387271513764
1997,NCST,13171.65,16730.014775138425,105213,0.15901090906198306
1998,NCST,23356.25,32817.565427292495,123281,0.26620132402635033
1999,NCST,13675.02,16379.125483578366,53562,0.3057974960527681
2000,NCST,3384.3500000000004,3922.941324274338,29664,0.13224586449144882
2001,NCST,2947.61,3881.92915523663,36021,0.10776850046463535
2002,NCST,14714.04,17618.305317986586,116535,0.1511846682798008
2003,NCST,11124,12914.152159017141,153263,0.08426138180132936
2004,NCST,18295.86,25848.822492919713,180413,0.14327583097071558
2005,NCST,14884.5,19238.629902536402,160354,0.11997599001294887
2006,NCST,14376.06,17025.98909267027,139468,0.12207810460227628
2007,NCST,13030.23,15403.37423843045,86299,0.17848844411210385
2008,NCST,5363.07,36696.17125421059,51533,0.7120907235016511
2009,NCST,5327.62,35484.339040656574,75102,0.47248194509675606
2010,NCST,5466,54270.46161499381,86199,0.6295950256382766
2011,NCST,7113.459999999999,75983.34962112775,73748,1.0303106473548809
2012,NCST,3380.59,21928.797975446087,81302,0.26972027718194
2013,NCST,3597.1299999999997,28583.251303061872,100085.0402978981,0.2855896467442613
2014,NCST,4375.84,28290.984718562875,218021.7236749011,0.1297622284683357
2015,NCST,4886,38131.785761429135,180971.82672707492,0.21070564656970608
2016,NCST,7315.54,37023.230645149335,215152.23088239672,0.1720792319619796
2017,NCST,10830.56,97292.08837644853,153956.38553124137,0.6319457815324308
2018,NCST,13522.74,14514.955570819284,120491.32660973848,0.12046473368022609
2019,NCST,12049.79,12910.45085677431,105873.67530175585,0.12194202968752704
2020,NCST,6422.91,6704.478633065138,47111.878447023555,0.14230972854551324
1975,CCST,2532.69,NA,153939,NA
1976,CCST,3565.91,NA,150831,NA
1977,CCST,15441.960000000001,NA,125712,NA
1978,CCST,11917.26,NA,123154,NA
1979,CCST,20099.06,20099.06,150406,0.1336320359560124
1980,CCST,21894.14,21894.14,110086,0.19888214668531876
1981,CCST,14792.86,15375.305895390564,73226,0.2099705827901369
1982,CCST,19667.43,49256.97376198894,96913,0.5082597150226382
1983,CCST,14429.44,NA,83893,NA
1984,CCST,7570.5,NA,49293,NA
1985,CCST,6451.95,8190.437251327149,43237,0.18943121056796608
1986,CCST,17304.51,17913.0497854316,83111,0.21553163582957252
1987,CCST,9195.16,9783.52698729,50762,0.19273328449016983
1988,CCST,10312.73,11394.211286739228,33523,0.3398923511242797
1989,CCST,10484,11352.358156877008,17274,0.6571933632555869
1990,CCST,18062.21,21755.852370028086,46020,0.47274776988327
1991,CCST,20105.690000000002,25011.38202620021,41422,0.6038187925788279
1992,CCST,23296.010000000002,27945.64423959969,46372,0.6026404778659469
1993,CCST,13981.47,15260.240947186894,24136,0.6322605629427782
1994,CCST,10627.94,11727.308474360578,23453,0.5000344721084969
1995,CCST,6454.7300000000005,6454.7300000000005,14784,0.436602408008658
1996,CCST,5873.700000000001,6619.11217733256,7201,0.9191934699809138
1997,CCST,7377.3099999999995,8413.64057330446,12925,0.6509586517063412
1998,CCST,6447.48,11433.913015655091,7655,1.4936529086420758
1999,CCST,6467.14,7615.129751857505,6415,1.1870818007572104
2000,CCST,2638.19,3030.601311383795,3198,0.9476551943038758
2001,CCST,3694.0699999999997,4603.231189371024,6465,0.7120233858269178
2002,CCST,6031.65,6736.219705254955,5158,1.3059751270366335
2003,CCST,11109.3,11519.815930781466,2816,4.090843725419554
2004,CCST,15045.88,15809.679354087279,5403,2.9260927917984967
2005,CCST,19523.510000000002,23797.302851760207,6327,3.761230101431991
2006,CCST,10084.65,10562.50315215008,5298,1.993677454161963
2007,CCST,3609.88,NA,5577,NA
2008,CCST,1450.02,27639.97648478609,1193,23.16846310543679
2009,CCST,4565.1,4938.808494631463,4180,1.181533132686953
2010,CCST,1192.07,1318.4837877719096,1570,0.8397985909375221
2011,CCST,4274.31,4498.848917082101,5185,0.8676661363707042
2012,CCST,3643.4,3661.7941375844825,3817,0.9593382597811062
2013,CCST,3157.2300000000005,3225.4491181701364,14896.76207210632,0.2165201473016529
2014,CCST,2479.53,2593.250504675451,19414.445763250802,0.1335732441862523
2015,CCST,6833.22,7003.84909499887,28914.39434416105,0.24222707249661696
2016,CCST,5934.6900000000005,5975.916203558422,22333.95166738755,0.267570929343622
2017,CCST,3456.59,3511.418874218981,21899.32354676757,0.16034371412067114
2018,CCST,5474.58,5624.334329035145,24871.977790607183,0.2261313666482589
2019,CCST,8999.62,9243.29720201332,25408.1102201218,0.36379317949798357
2020,CCST,4952.56,5066.171676460343,10206.093268602976,0.49638696640617785
1975,WCVI,1897.87,NA,614412,NA
1976,WCVI,6543.9400000000005,6629.1980626104705,735394,0.00901448483752991
1977,WCVI,12701.15,12712.945733117378,676424,0.01879434457251277
1978,WCVI,18616.18,18616.18,633410,0.02939041063450214
1979,WCVI,16510.2,16510.2,576036,0.028661750307272464
1980,WCVI,36411.76,36411.76,555637,0.06553156107314669
1981,WCVI,24613.72,25367.220410384463,504394,0.05029247058923077
1982,WCVI,41256.979999999996,56145.32705593135,617012,0.09099551881637853
1983,WCVI,36039.14,37882.35671495807,448306,0.08450111467381224
1984,WCVI,45740.72,45932.37218464078,586746,0.07828323019609981
1985,WCVI,16088.71,16094.97724317492,460033,0.0349865710572392
1986,WCVI,14563.2,14610.478182507763,442938,0.03298537985566324
1987,WCVI,16319.93,16586.34763079663,447085,0.03709886851671747
1988,WCVI,37747.06,39683.24287791978,490027,0.08098174769537143
1989,WCVI,82363.66,84850.4658119433,331899,0.25565146569270564
1990,WCVI,86179.75,96911.55471966293,423181,0.22900733898653988
1991,WCVI,125019.73,155951.22087194698,373043,0.4180515942450253
1992,WCVI,128547.59,177904.3251914606,436674,0.4074076432108635
1993,WCVI,139313.19,167537.50846875168,389585,0.43004096273920117
1994,WCVI,76978,88369.256962581,237181,0.37258151775471476
1995,WCVI,28811.760000000002,35860.066053959614,124534,0.2879540210220471
1996,WCVI,2835.31,3400.9134998655463,20887,0.16282441230744224
1997,WCVI,37836.61,47298.237543601485,121827,0.38824101015047147
1998,WCVI,42265.9,49550.57843708115,79705,0.621674655756617
1999,WCVI,23892.63,27390.850867243244,149964,0.18264950833028756
2000,WCVI,8132.18,9509.61576492796,88257,0.10774913904764448
2001,WCVI,9234.74,10788.07134003245,106743,0.1010658435685005
2002,WCVI,45559.34,59512.77755755706,222031,0.2680381458334965
2003,WCVI,41513.21,48926.63492097032,267444,0.18294160617164834
2004,WCVI,78070.89,100827.65070346468,319714,0.31536826883860164
2005,WCVI,75114.51,91373.72437232944,286545,0.3188808891180423
2006,WCVI,60246.36,80616.54861905807,230969,0.34903622832093517
2007,WCVI,45588.61,104372.60565725398,212224,0.49180396966061324
2008,WCVI,27786.48,70114.89323468141,194422,0.36063250678771647
2009,WCVI,13438.949999999999,29129.26031624095,179971,0.161855300666446
2010,WCVI,7229.389999999999,16481.55114807656,174901,0.09423360156932528
2011,WCVI,26136.18,53592.29885106107,288020,0.18607144938219938
2012,WCVI,13724.050000000001,32709.759108141545,179113,0.18262079864745465
2013,WCVI,7328.23,19755.722501818193,188890.48855324613,0.1045882333892597
2014,WCVI,7318.88,17106.17618453594,250877.60009306588,0.06818534687110452
2015,WCVI,16666.72,41674.17723749476,224317.4943726994,0.18578210921103586
2016,WCVI,17270.87,45755.021295034116,172652.0404521617,0.2650129194836356
2017,WCVI,37350.25,92770.6233319412,201674.02602056606,0.46000283309899687
2018,WCVI,53634.82,125175.35025055746,177739.29887629105,0.7042637787025434
2019,WCVI,66326.52,144836.85408537643,189898.97356822126,0.7627047759336295
2020,WCVI,47924.939999999995,273394.31369642064,123246.8520055012,2.218266099682753
1975,ISC,24598.74,53266.47937516742,346700,0.15363853295404506
1976,ISC,27763.850000000002,71860.2217670774,401717,0.1788827004261144
1977,ISC,25393.21,42977.57264477574,475637,0.09035792557092014
1978,ISC,62914.47,62914.47,396449,0.15869498977169824
1979,ISC,62236.71,62236.71,393316,0.15823589683613176
1980,ISC,44830.98,44830.98,400906,0.11182416825889362
1981,ISC,47994,47994,422924,0.11348138199771117
1982,ISC,40736.5,40742.802206615175,388245,0.10494095791733359
1983,ISC,57088.35,59387.35409760131,419727,0.14149043091724217
1984,ISC,68014.37,69432.97904568576,557283,0.12459195605407981
1985,ISC,43819.84,44543.45147290021,365329,0.12192695207032624
1986,ISC,51066.41,53282.824424640916,286504,0.18597584824170313
1987,ISC,34264.94,36007.646356566715,209448,0.17191687844508763
1988,ISC,27299.489999999998,28831.006993052317,160746,0.17935753918014954
1989,ISC,39677.94,43047.03709656711,230243,0.1869634998526214
1990,ISC,40880.619999999995,45150.03274913433,168755,0.2675478222816173
1991,ISC,60760.5,64636.184459221964,168652,0.3832518111805491
1992,ISC,66256.48,71467.76226465077,174710,0.40906509223656784
1993,ISC,59561.270000000004,65911.40792449303,191320,0.3445087179829241
1994,ISC,29021.760000000002,31553.517376845626,106142,0.2972764539658724
1995,ISC,23384.54,25331.939672910336,60820,0.4165067358255563
1996,ISC,31786.1,34550.663985079926,79315,0.43561323816528935
1997,ISC,24666.579999999998,28495.508038804284,71981,0.39587541210603194
