year,NCST_Net,NCST_Troll,NCST_Rec,CCST_Net,CCST_Troll,CCST_Rec,WCVI_Net,WCVI_Troll,WCVI_Rec,ISC_Net,ISC_Troll,ISC_Rec
1975,37232,227613,NA,78747,75192,NA,66090,548322,NA,126155,220545,NA
1976,21490,189574,NA,56030,94801,NA,77620,657774,NA,142214,259503,NA
1977,60830,131122,NA,51263,74449,NA,108570,567854,NA,163971,311666,NA
1978,54749,144586,NA,61937,61217,NA,77327,556083,NA,140862,255587,NA
1979,59897,148726,NA,80918,69488,NA,95268,480768,NA,96492,296824,NA
1980,38794,163563,NA,51008,59078,NA,66928,488709,NA,88973,311933,NA
1981,58721,151731,NA,32248,40978,NA,102131,398135,4128,71843,277568,73513
1982,81578,174239,NA,51026,45887,NA,62124,544167,10721,66941,207623,113681
1983,26659,162917,NA,33123,50770,NA,45521,385532,17253,85440,159810,174477
1984,50807,179562,NA,10202,39091,NA,71600,460504,54642,66012,132309,358962
1985,70512,186654,NA,27257,15980,NA,66618,354040,39375,79826,68449,217054
1986,42651,152958,NA,55240,27871,NA,65743,342437,34758,57622,68580,160302
1987,41227,177345,NA,21408,29354,NA,11866,378946,56273,33093,73257,103098
1988,40339,152350,NA,21834,11689,NA,28407,408629,52991,20882,38982,100882
1989,48825,207461,NA,7422,9852,NA,72776,203884,55239,59573,37814,132856
1990,39240,153888,NA,30206,15814,NA,41897,298023,83261,39320,45841,83594
1991,56215,193576,NA,18927,22495,NA,73042,202597,97404,34362,37505,96785
1992,43496,142067,NA,20738,25634,NA,25384,346616,64674,21167,53846,99697
1993,44677,161643,NA,11176,12960,NA,32185,274736,82664,36682,45136,109502
1994,26218,164257,NA,15360,8093,NA,17588,145861,73732,25299,24981,55862
1995,28008,56869,NA,12122,2662,NA,1980,81194,41360,8109,2041,50670
1996,30589,8,NA,7201,0,NA,137,4,20746,4617,0,74698
1997,20829,84384,NA,3651,9274,NA,301,52635,68891,25185,2052,44744
1998,6135,117146,NA,5467,2188,NA,327,11396,67982,4948,2547,15695
1999,8662,44900,NA,4342,2073,NA,80,56280,93604,164,314,36021
2000,19716,9948,NA,3198,NA,NA,25,34480,53752,4520,694,30401
2001,22670,13351,NA,6465,0,NA,70,58369,48304,342,781,40688
2002,13514,103021,NA,4676,482,NA,241,134462,87328,4973,569,60270
2003,13401,139862,NA,2816,0,NA,9237,155307,102900,4965,1018,30368
2004,11107,169306,NA,5403,0,NA,12308,169852,137554,8110,683,30061
2005,5107,155247,NA,6305,22,NA,23364,140394,122787,167,0,26239
2006,10176,129292,NA,5298,0,NA,19955,105824,105190,3610,15,21200
2007,9012,77287,NA,5577,0,NA,26881,74442,110901,90,0,26431
2008,5686,45847,NA,1184,9,NA,8257,91193,94972,0,0,16169
2009,3737,71365,NA,4180,NA,NA,9765,48983,121223,34,0,31034
2010,1755,84444,NA,1570,0,NA,1747,78968,94186,6497,0,25381
2011,2703,71045,NA,5185,0,NA,21509,121171,145340,5627,52,36663
2012,780,80522,NA,3817,0,NA,10230,59156,109727,1,0,34664
2013,2126,69543,28416.0402978981,5308,0,9588.762072106321,8859,33668,146363.48855324613,115,0,62186.15723613716
2014,2632,172223,43166.72367490109,2238,0,17176.445763250802,19086,107624,124167.60009306586,6844,2,69269.63353096535
2015,2413,105756,72802.82672707492,5351,0,23563.394344161054,10131,53909,160277.4943726994,8,0,95610.55696072774
2016,1222,149449,64481.230882396725,3232,0,19101.95166738755,5122,48904,118626.04045216167,3,0,67908.60109031877
2017,1257,97742,54957.385531241365,3119,0,18780.323546767566,30486,46808,124380.02602056605,1,0,95281.62845056539
2018,0,70276,50215.326609738484,4603,0,20268.977790607183,21766,19111,136862.29887629105,289,6,100490.328195862
2019,0,42801,63072.67530175585,6092,0,19316.110220121802,45505,23195,121198.97356822129,0,NA,73032.68699549053
2020,0,30096,17015.87844702355,4130,0,6076.0932686029755,42883,11305,69058.8520055012,0,0,52468.1858267855
