year,region,Exp CWT,Total Hatchery,Total Catch,Enhanced Contribution
1976,NCST,405.2,NA,423129,NA
1977,NCST,489,NA,331189,NA
1978,NCST,1904.53,NA,710830,NA
1979,NCST,1961.32,NA,589249,NA
1980,NCST,1915.9,Inf,665152,Inf
1981,NCST,971.47,Inf,461627,Inf
1982,NCST,701.44,Inf,580295,Inf
1983,NCST,4869.87,6810.950271976542,950944,0.007162304270258335
1984,NCST,2734.16,11041.705800943359,694224,0.015905105269975336
1985,NCST,1959.21,11615.476410653237,704062,0.016497803333588856
1986,NCST,14359.95,96217.38955015127,1302133,0.07389213663285646
1987,NCST,14137.470000000001,25094.29255944708,695909,0.03605973275161994
1988,NCST,16325.68,32667.864164019822,409599,0.0797557224603083
1989,NCST,11829.29,20545.167576702657,734546,0.027969885584704916
1990,NCST,25659.36,42727.62075508114,1138260,0.03753766341176984
1991,NCST,28830.24,41671.76448880497,1178041,0.03537378112375118
1992,NCST,37016.4,76668.3485872994,637879,0.120192620524111
1993,NCST,22449.59,30418.048784943032,471330,0.06453662780842091
1994,NCST,25166.350000000002,41628.468267272314,914168,0.04553700005608632
1995,NCST,10411.63,16677.240744655945,408420,0.04083355551798625
1996,NCST,10099.21,14338.258912413825,454754,0.03152970377921651
1997,NCST,5277.29,13133.593966299473,191299,0.06865479676474771
1998,NCST,33.65,57.912074065041566,6,9.652012344173594
1999,NCST,226.53000000000003,371.6984148918875,3643,0.10203085777982089
2000,NCST,52.800000000000004,100.81787087187845,7514,0.013417337087021353
2001,NCST,336.56000000000006,751.0549862611083,9189,0.08173413714888544
2002,NCST,512.75,3458.569261285414,115521,0.029938879175954277
2003,NCST,1455.96,4172.816134033388,215331,0.019378613084197763
2004,NCST,3304.8100000000004,8925.38664868353,260159,0.03430742987435964
2005,NCST,1825.91,5272.316747225011,308733,0.017077269832590006
2006,NCST,387.88,813.1256412665986,128583,0.006323741406458075
2007,NCST,1871.39,39635.08614297029,222280,0.17831152664643823
2008,NCST,228.01,2884.773751994014,62817,0.04592345626174466
2009,NCST,822.18,30229.828574896663,222447,0.13589676900518624
2010,NCST,623.0500000000001,21282.389630094214,138395,0.1537800471844663
2011,NCST,2380.18,103774.11595226314,291878,0.3555393553205899
2012,NCST,1220.17,65381.027910348836,215452,0.30345983286462336
2013,NCST,1493.98,51526.61180759673,444284.5452175626,0.11597660184727912
2014,NCST,376.78999999999996,11978.921919125807,247216.98935253778,0.04845509182236483
2015,NCST,772.9,22980.992511104534,321833.495614551,0.07140646584104497
2016,NCST,1013.84,27212.698943740845,302228.1932049496,0.09004023964530382
2017,NCST,1407.3600000000001,26598.889545142865,390580.89278654364,0.06810084680634755
2018,NCST,1130.44,24351.83878502623,213645.88697159954,0.11398224946059167
2019,NCST,811.41,14284.028699253851,230731.07241849753,0.06190769431065459
2020,NCST,203.29,3341.196593242125,112098.38672001148,0.02980592933587388
1975,NCST,0,NA,328537,NA
1975,CCST,248.36,NA,223787,NA
1976,CCST,4569.52,NA,494458,NA
1977,CCST,36408.869999999995,NA,223609,NA
1978,CCST,7959.200000000001,NA,352182,NA
1979,CCST,2964.37,NA,285540,NA
1980,CCST,8122.94,NA,268991,NA
1981,CCST,3995.1,NA,209992,NA
1982,CCST,4728.72,Inf,188650,Inf
1983,CCST,9789.7,NA,362783,NA
1984,CCST,3848.52,3848.52,213123,0.018057741304317226
1985,CCST,4198.29,5446.875957578764,151150,0.03603622863102061
1986,CCST,11405.449999999999,Inf,482359,Inf
