year,NCST_Net,NCST_Troll,NCST_Rec,CCST_Net,CCST_Troll,CCST_Rec,WCVI_Net,WCVI_Troll,WCVI_Rec,ISC_Net,ISC_Troll,ISC_Rec
1975,100898,227639,NA,159500,64287,NA,484660,785342,NA,181107,221813,NA
1976,86463,336666,NA,216965,277493,NA,288293,1643624,NA,230735,405115,NA
1977,130040,201149,NA,103271,120338,NA,556638,1575193,NA,280525,297369,NA
1978,195121,515709,NA,177877,174305,NA,133507,1362105,NA,274006,517337,NA
1979,140245,449004,NA,142243,143297,NA,280718,1914374,NA,161088,399156,NA
1980,130194,534958,NA,148966,120025,NA,173781,1741136,NA,209166,356676,NA
1981,86013,375614,NA,112972,97020,NA,285578,1390593,8578,218753,248440,165212
1982,187281,393014,NA,110670,77980,NA,141034,1790739,8076,222667,247551,403615
1983,216736,734208,NA,153405,209378,NA,26153,2169144,35818,270901,344722,335816
1984,163128,531096,NA,60370,152753,NA,85420,2175679,34204,141893,288584,412380
1985,176350,527712,NA,96898,54252,NA,232266,1389345,23900,197192,272178,706493
1986,212581,1089552,NA,277416,204943,NA,213102,2159656,33947,177259,569761,540615
1987,100354,595555,NA,93244,87777,NA,223643,1821459,80691,81256,344231,587715
1988,61610,347989,NA,107864,44728,NA,67689,1596025,62354,117672,395652,990896
1989,161238,573308,NA,28822,36913,NA,381745,1952212,45268,131088,159540,497226
1990,163586,974674,NA,153322,118332,NA,156841,1864567,80905,127329,306117,565820
1991,196107,981934,NA,47654,70065,NA,185617,1889690,152950,87537,47132,53860
1992,122010,515869,NA,67482,83677,NA,115712,1671621,147443,88705,291359,483972
1993,134375,336955,NA,37829,17185,NA,9663,953738,113505,68384,331315,739548
1994,174387,739781,NA,94234,26791,NA,135774,1251744,130042,43808,81475,178520
1995,111549,296871,NA,31196,13331,NA,39718,1353853,109906,18674,5532,17810
1996,132028,322726,NA,36059,10410,NA,4285,793525,118733,5891,3,36900
1997,30795,160504,NA,15787,7171,NA,251,41,125056,6411,1182,14994
1998,6,0,NA,991,0,NA,64,0,61,0,0,1772
1999,2779,864,NA,601,0,NA,112,0,8488,3,0,310
2000,1775,5739,NA,1641,NA,NA,249,5,7775,464,14,4225
2001,241,8948,NA,2272,0,NA,101,0,39141,28,0,12088
2002,413,115108,NA,1259,9037,NA,1084,5,29875,232,6,6125
2003,7343,207988,NA,3047,20712,NA,6366,283,66985,237,3,11267
2004,22966,237193,NA,55872,33548,NA,2891,233,50981,43,10,8262
2005,48452,260281,NA,52456,48099,NA,3908,2010,49614,166,4,10369
2006,1055,127528,NA,4982,10735,NA,2183,2644,18985,8,0,3572
2007,61728,160552,NA,18907,28184,NA,4816,1426,50235,14,0,8660
2008,8,62809,NA,0,13725,NA,4974,310,28035,6,5,1565
2009,2011,220436,NA,15914,NA,NA,909,0,88716,19,6,10626
2010,100,138295,NA,362,0,NA,767,458,16576,600,0,5477
2011,11163,280715,NA,15672,15932,NA,985,0,69864,800,0,7725
2012,0,215452,NA,495,0,NA,260,2106,68203,5,0,10285
2013,21022,378187,45075.54521756261,24499,21121,28721.65982190612,1108,6126,133547.76183377352,2639,0,57256.54028305398
2014,26730,176662,43824.989352537785,11775,0,31183.94990787595,607,34949,77060.79329578414,1897,6,33768.8429470369
2015,20182,255675,45976.495614551044,964,0,32742.993495734325,335,6186,53130.60377330429,687,0,23618.69011377909
2016,37739,214610,49879.19320494961,224,4343,19738.346217619503,808,253,33222.19791871781,356,0,21592.347541309115
2017,12852,333175,44553.89278654362,536,4568,31658.858089078814,783,331,30201.158153063014,369,0,18121.222891472386
2018,728,176527,36390.88697159954,0,0,24457.988877959815,4053,2,47719.21153312985,813,1,29441.7268046054
2019,0,177119,53612.07241849753,6,2161,34741.84844989851,2922,0,54817.15489509299,0,NA,14094.251066984974
2020,0,89381,22717.386720011473,0,0,8176.648700307667,0,6,34452.94113897832,196,0,10916.217896353188
