Project,Species,Run,Recovery Year,RETURN_SITE_CODE,Return Site,CU Index,CU Name,Composite Type,Composite Descr,Sex/Maturity,Total Count,Total Examined,Expanded Enh,Enh Contr %
Big Qualicum R,Chum,Fall,1990,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Above Fence (BQ Chum),H5,Total Adults,779,358,1656.687,212.668
Big Qualicum R,Chum,Fall,1990,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Above Fence (BQ Chum),H3,Total Adults,36560,10482,47292.766,129.357
Big Qualicum R,Chum,Fall,1990,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Below Fence (BQ Chum),H4,Total Adults,5372,1152,8107.931,150.929
Big Qualicum R,Chum,Fall,1990,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Broodstock,B2,Total Adults,1123,1123,2388.266,212.668
Big Qualicum R,Chum,Fall,1990,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Channel,H1,Total Adults,20615,20615,24372.862,118.229
Big Qualicum R,Chum,Fall,1990,100,Big Qualicum R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,976,976,2075.644,212.668
Big Qualicum R,Chum,Fall,1991,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Broodstock,H2,Total Adults,601,601,566.004,94.177
Big Qualicum R,Chum,Fall,1991,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Channel,H1,Total Adults,21734,21734,16015.036,73.687
Big Qualicum R,Chum,Fall,1991,100,Big Qualicum R,CM-4,GEORGIA STRAIT,River (BQ Chum),H3,Total Adults,60778,9744,51271.45,84.359
Big Qualicum R,Chum,Fall,1992,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Above Fence (BQ Chum),H3,Total Adults,44719,9428,18066.282,40.4
Big Qualicum R,Chum,Fall,1992,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Below Fence (BQ Chum),H5,Total Adults,12092,1361,2009.364,16.617
Big Qualicum R,Chum,Fall,1992,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Broodstock,B4,Total Adults,618,618,411.889,66.649
Big Qualicum R,Chum,Fall,1992,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Channel,H1,Total Adults,28727,28727,23113.932,80.461
Big Qualicum R,Chum,Fall,1992,100,Big Qualicum R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,7815,7815,5208.595,66.649
Big Qualicum R,Chum,Fall,1993,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Above Fence (BQ Chum),H3,Total Adults,46740,6689,23538.39,50.36
Big Qualicum R,Chum,Fall,1993,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Below Fence (BQ Chum),H4,Total Adults,16323,379,9739.762,59.669
Big Qualicum R,Chum,Fall,1993,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Broodstock,B2,Total Adults,540,540,333.301,61.722
Big Qualicum R,Chum,Fall,1993,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Channel,H1,Total Adults,44070,44070,28722.217,65.174
Big Qualicum R,Chum,Fall,1993,100,Big Qualicum R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,53531,53531,33040.559,61.722
Big Qualicum R,Chum,Fall,1994,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Above Fence (BQ Chum),H2,Total Adults,58022,10931,7346.164,12.661
Big Qualicum R,Chum,Fall,1994,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Below Fence (BQ Chum),H3,Total Adults,10054,2796,8518.73,84.73
Big Qualicum R,Chum,Fall,1994,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Broodstock,B4,Total Adults,301,301,215.372,71.552
Big Qualicum R,Chum,Fall,1994,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Channel,H1,Total Adults,29109,29109,16114.265,55.358
Big Qualicum R,Chum,Fall,1994,100,Big Qualicum R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,21464,21464,15358.002,71.552
Big Qualicum R,Chum,Fall,1995,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Channel,H1,Total Adults,10599,10599,8720.947,82.281
Big Qualicum R,Chum,Fall,1995,100,Big Qualicum R,CM-4,GEORGIA STRAIT,River (BQ Chum),H2,Total Adults,35470,2610,10346.621,29.17
Big Qualicum R,Chum,Fall,1996,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Channel,H1,Total Adults,4420,4420,5050.533,114.265
Big Qualicum R,Chum,Fall,1996,100,Big Qualicum R,CM-4,GEORGIA STRAIT,River (BQ Chum),H2,Total Adults,41004,12743,43754.655,106.708
Big Qualicum R,Chum,Fall,1997,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Channel,H1,Total Adults,21681,21681,23060.514,106.363
Big Qualicum R,Chum,Fall,1997,100,Big Qualicum R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,728,728,599.559,82.357
Big Qualicum R,Chum,Fall,1997,100,Big Qualicum R,CM-4,GEORGIA STRAIT,River (BQ Chum),H2,Total Adults,63401,16391,65038.569,102.583
Big Qualicum R,Chum,Fall,1998,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Broodstock,B2,Total Adults,564,564,360.985,64.004
Big Qualicum R,Chum,Fall,1998,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Channel,H1,Total Adults,37222,37222,13504.921,36.282
Big Qualicum R,Chum,Fall,1998,100,Big Qualicum R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,33754,22063,21604.049,64.004
Big Qualicum R,Chum,Fall,1998,100,Big Qualicum R,CM-4,GEORGIA STRAIT,River (BQ Chum),H3,Total Adults,170785,48596,64360.01,37.685
Big Qualicum R,Chum,Fall,1999,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Broodstock,B2,Total Adults,667,667,402.84,60.396
Big Qualicum R,Chum,Fall,1999,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Channel,H1,Total Adults,16168,16168,10204.408,63.115
Big Qualicum R,Chum,Fall,1999,100,Big Qualicum R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,1787,1787,1079.275,60.396
Big Qualicum R,Chum,Fall,1999,100,Big Qualicum R,CM-4,GEORGIA STRAIT,River (BQ Chum),H3,Total Adults,45298,7683,20591.965,45.459
Big Qualicum R,Chum,Fall,2000,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Above Fence (BQ Chum),H3,Total Adults,10589,5777,4891.877,46.198
Big Qualicum R,Chum,Fall,2000,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Below Fence (BQ Chum),H4,Total Adults,1377,1377,619.451,44.986
Big Qualicum R,Chum,Fall,2000,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Broodstock,B2,Total Adults,2123,2123,1093.569,51.511
Big Qualicum R,Chum,Fall,2000,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Channel,H1,Total Adults,1368,1368,545.363,39.866
Big Qualicum R,Chum,Fall,2000,100,Big Qualicum R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,120,120,61.812,51.51
Big Qualicum R,Chum,Fall,2001,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Above Fence,N2,Total Adults,123106,8574,50522.999,41.04
Big Qualicum R,Chum,Fall,2001,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Below Fence (BQ Chum),H3,Total Adults,13023,592,405.558,3.114
Big Qualicum R,Chum,Fall,2001,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,928,928,587.395,63.297
Big Qualicum R,Chum,Fall,2001,100,Big Qualicum R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,5877,5877,3719.952,63.297
Big Qualicum R,Chum,Fall,2001,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Natural Channel,N1,Total Adults,26262,26262,15711.321,59.825
Big Qualicum R,Chum,Fall,2002,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Above Fence,N1,Total Adults,129473,18826,27899.619,21.549
Big Qualicum R,Chum,Fall,2002,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Below Fence,N2,Total Adults,18062,0,3892.108,21.549
Big Qualicum R,Chum,Fall,2002,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,587,587,392.439,66.855
Big Qualicum R,Chum,Fall,2002,100,Big Qualicum R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,19671,13455,13151.066,66.855
Big Qualicum R,Chum,Fall,2002,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Natural Channel,N3,Total Adults,32719,32719,13118.541,40.095
Big Qualicum R,Chum,Fall,2003,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Above Fence,N1,Total Adults,29933,258,8702.252,29.072
Big Qualicum R,Chum,Fall,2003,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Below Fence,N2,Total Adults,4503,0,1309.132,29.072
Big Qualicum R,Chum,Fall,2003,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,196,196,90.112,45.976
Big Qualicum R,Chum,Fall,2003,100,Big Qualicum R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,5411,5397,2487.739,45.976
Big Qualicum R,Chum,Fall,2003,100,Big Qualicum R,CM-4,GEORGIA STRAIT,Natural Channel,N3,Total Adults,19348,19348,5699.885,29.46
