Project,Species,Run,Recovery Year,RETURN_SITE_CODE,Return Site,CU Index,CU Name,Composite Type,Composite Descr,Sex/Maturity,Total Count,Total Examined,Expanded Enh,Enh Contr %
Adams R Up,Chinook,Summer,1995,364,Adams R Up,,,River,N1,Total Adults,155,25,146.5,94.516
Adams R Up,Chinook,Summer,1996,364,Adams R Up,,,River,N1,Total Adults,220,22,220,100
Big Qualicum R,Chinook,Fall,1973,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,641,636,641,100
Big Qualicum R,Coho,Fall,1973,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,1756,1756,1606.039,91.46
Big Qualicum R,Chinook,Fall,1973,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,316,285,18.64,5.899
Big Qualicum R,Coho,Fall,1973,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Jacks,1365,1365,1248.431,91.46
Big Qualicum R,Chinook,Fall,1973,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,324,324,19.12,5.901
Big Qualicum R,Chinook,Fall,1974,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,214,192,201.45,94.136
Big Qualicum R,Coho,Fall,1974,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,2827,2827,2294.79,81.174
Big Qualicum R,Chinook,Fall,1974,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,176,56,131.13,74.506
Big Qualicum R,Coho,Fall,1974,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,11017,11017,9529.571,86.499
Big Qualicum R,Chinook,Fall,1974,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,378,378,281.63,74.505
Big Qualicum R,Coho,Fall,1974,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,4494,4494,3887.256,86.499
