recY,proj,stock,run,prod_area,stat_area,area,catch,Escape
1977,Big Qualicum R,Big Qualicum R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,34.6,34548.09
1982,Brunette R,Salmon R/LWFR,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,3.14,0
1975,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,4.13,64.18
1976,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,81.54,20698.74
1978,Capilano R,Big Qualicum R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,15.61,4339.81
1978,Capilano R,Big Qualicum R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,14.22,4672.02
1977,Capilano R,Big Qualicum R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,17.41,1063.4
1978,Capilano R,Big Qualicum R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,15.27,2293.33
1978,Capilano R,Big Qualicum R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,17.34,3974.75
1978,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,4,0
1978,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,12.29,1435.8
1978,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,15.7,165.27
1981,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,4,66.94
1981,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,11.38,953.54
1981,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,7.04,545.55
1981,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,7.04,715.71
1981,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,6.57,712.78
1981,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,8.8,1065.48
1981,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,10.98,1241.46
1981,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,10.24,1269.21
1981,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,26.5,3923.77
1981,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,15.8,2570.27
1981,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,3.79,9.29
1982,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,22.03,21131.88
1981,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,4,90.19
1978,Puntledge R,Morrison Cr/GSVI,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,4.3,23.62
1977,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,324.36,17325.01
1979,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,4.13,96.77
1979,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,16.39,1411.52
1975,Robertson Cr,Robertson Cr,Fall,SWVI,1BC Freshwater (MRP AREA FW)-S,FW,8.42,2477.89
1981,Robertson Cr,Robertson Cr,Fall,SWVI,1BC Freshwater (MRP AREA FW)-S,FW,34.49,4056.21
1981,Seymour R,Seymour R/GSMN,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,24.34,25.07
1985,Alouette R,Alouette R S,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,4.53,0
1983,Big Qualicum R,Big Qualicum R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,72.12,25086.08
1983,Big Qualicum R,Big Qualicum R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,75.22,13988.64
1984,Big Qualicum R,Big Qualicum R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,277.63,29265.38
1984,Big Qualicum R,Big Qualicum R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,115.56,2750.65
1985,Big Qualicum R,Big Qualicum R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,247.68,4318.22
1985,Big Qualicum R,Big Qualicum R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,247.07,5757.4
1987,Big Qualicum R,Big Qualicum R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,303.07,5159.24
1987,Big Qualicum R,Big Qualicum R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,5.29,45.7
1986,Birkenhead R,Birkenhead R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,3.33,0
1984,Brunette R,Salmon R/LWFR,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,5.1,0
1983,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,3.56,87.76
1984,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,49.38,1920.86
1984,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,13.19,753.85
1984,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,32.89,3033.33
1984,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,111.55,2884.02
1984,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,57.23,2080.15
1984,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,91.38,6274.36
1984,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,41.15,2722.68
1984,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,8.68,113.94
