Stock,Region,Catch.Year,CWTs,Ages,SEAK.Troll,SEAK.Net,SEAK.Sport,NBC.Troll,NBC.Sport,WCVI.Troll,WCVI.Sport,ISBM.NCBC.Troll,ISBM.NCBC.Net,ISBM.NCBC.Sport,ISBM.SBC.Troll,ISBM.SBC.Net,ISBM.SBC.Sport,ISBM.NF.Troll,ISBM.NF.Sport,ISBM.SF.Troll,ISBM.SF.Sport,ISBM.WAC.Net,ISBM.PS.Net,ISBM.PS.Sport,Term.SEAK.Troll,Term.SEAK.Net,Term.SEAK.Sport,Term.CAN.Net,Term.CAN.Sport,Term.SUS.Troll,Term.SUS.Net,Term.SUS.Sport,Stray,Escapement
Lower Shuswap,Fraser,1981,140,"2,3",13.57,0.00,0.00,4.29,0.00,0.71,0.00,2.14,6.43,0.00,1.43,4.29,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,0.00,1.43,0.00,0.00,0.00,0.00,0.00,62.86
Lower Shuswap,Fraser,1982,385,"3,4",28.57,1.04,0.52,12.73,0.00,6.23,0.00,1.30,4.42,0.00,0.78,11.95,4.68,0.00,0.00,0.00,0.00,0.00,10.39,0.00,0.00,0.00,0.00,0.78,0.00,0.00,1.56,0.00,0.00,15.06
Lower Shuswap,Fraser,1983,170,"4,5",30.59,1.76,0.00,22.35,0.00,0.00,0.00,7.06,4.12,0.00,0.00,14.12,0.00,0.00,0.00,0.00,0.00,0.00,2.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65
Lower Shuswap,Fraser,1987,632,"2,3",7.75,2.22,0.16,11.71,0.00,2.22,0.00,2.69,0.79,0.63,0.79,8.23,4.59,0.00,0.00,0.00,0.00,0.00,2.85,0.00,0.00,0.00,0.00,0.79,7.28,0.00,0.00,0.00,0.32,46.99
Lower Shuswap,Fraser,1988,2072,"2,3,4",7.67,0.19,0.05,9.65,0.29,5.07,0.05,1.64,1.35,0.00,0.00,6.32,2.80,0.00,0.10,0.00,0.00,0.10,1.16,0.19,0.00,0.00,0.00,0.87,1.45,0.00,0.29,0.00,0.24,60.52
Lower Shuswap,Fraser,1989,1682,"2,3,4,5",5.11,4.04,0.00,7.19,0.00,1.13,0.00,0.54,0.24,0.00,0.00,12.31,0.42,0.00,0.00,0.00,0.00,0.00,0.89,0.12,0.00,0.00,0.00,1.13,0.42,0.00,0.48,0.00,0.00,65.99
Lower Shuswap,Fraser,1990,1252,"2,3,4,5",27.72,0.00,0.80,19.41,0.32,3.75,3.04,1.76,1.12,0.88,0.00,2.08,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,7.59,1.52,0.00,0.00,0.00,1.12,26.68
Lower Shuswap,Fraser,1991,631,"2,3,4,5",34.07,0.00,0.63,22.19,0.48,3.01,0.00,1.27,1.27,0.00,0.00,5.39,1.27,0.00,0.00,0.00,0.00,0.00,3.17,0.00,0.00,0.00,0.00,5.23,0.63,0.00,0.00,0.00,0.16,21.24
Lower Shuswap,Fraser,1992,296,"2,3,4,5",13.51,0.00,0.00,17.91,0.00,4.39,0.00,6.08,1.35,0.00,0.00,4.73,4.73,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,5.07,4.39,0.00,0.00,0.00,0.00,35.14
Lower Shuswap,Fraser,1993,480,"2,3,4,5",7.71,1.67,0.00,12.92,0.00,9.79,0.00,1.04,0.83,0.00,0.00,7.29,1.46,0.42,0.00,0.00,0.00,0.00,0.00,0.00,4.38,0.00,0.00,8.54,3.54,0.00,0.00,0.00,0.00,40.42
Lower Shuswap,Fraser,1994,1045,"2,3,4,5",9.38,0.00,1.05,17.42,1.72,8.13,0.00,10.05,0.86,0.00,0.86,4.31,1.82,0.00,0.00,0.00,0.00,0.00,2.97,0.00,0.00,0.00,0.00,9.76,0.00,0.00,0.00,0.00,0.48,31.20
Lower Shuswap,Fraser,1995,530,"2,3,4,5",15.85,0.00,3.77,11.32,4.15,3.40,0.00,0.75,0.19,1.51,0.00,3.40,2.64,0.00,0.00,0.00,0.00,0.00,2.45,0.00,0.00,0.00,0.00,7.92,0.38,0.00,0.75,0.00,0.57,40.94
Lower Shuswap,Fraser,1996,743,"2,3,4,5",16.29,0.00,0.00,0.54,0.67,0.40,0.94,0.00,0.13,1.48,0.00,0.40,4.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.21,1.35,0.00,0.00,0.00,0.00,65.55
Lower Shuswap,Fraser,1997,608,"2,3,4,5",13.32,0.66,0.00,8.72,2.14,0.49,0.00,0.16,0.16,0.66,0.00,3.62,5.59,0.00,0.00,0.00,0.00,0.00,1.97,0.00,0.00,0.00,0.00,15.63,0.00,0.00,0.33,0.00,0.00,46.55
Lower Shuswap,Fraser,1998,754,"2,3,4,5",21.49,0.40,9.15,7.03,14.06,0.00,0.00,0.00,0.00,1.06,0.00,0.40,7.82,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,5.44,0.66,0.00,0.00,0.00,1.19,30.50
Lower Shuswap,Fraser,1999,832,"2,3,4,5",15.50,0.00,6.01,0.72,4.57,0.00,0.00,0.00,0.00,0.24,0.00,0.00,4.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.41,0.36,0.00,0.00,0.00,0.00,62.62
Lower Shuswap,Fraser,2000,718,"2,3,4,5",11.00,0.00,9.89,0.00,4.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.62,0.00,0.42,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,6.41,1.39,0.00,0.00,0.00,0.97,61.42
Lower Shuswap,Fraser,2001,1158,"2,3,4,5",8.03,1.21,0.43,0.00,0.00,0.00,0.00,0.26,0.00,1.04,0.09,0.69,9.41,0.09,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,1.47,1.55,0.00,0.26,0.00,0.00,75.30
Lower Shuswap,Fraser,2002,1561,"2,3,4,5",18.26,0.00,2.50,12.75,4.16,1.28,0.00,0.06,0.00,1.60,0.00,0.00,3.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.58,0.45,0.00,0.00,0.00,0.00,46.76
Lower Shuswap,Fraser,2003,1877,"2,3,4,5",9.80,0.85,1.60,8.10,2.45,0.00,0.00,1.28,0.00,0.43,0.00,0.00,7.09,0.21,0.00,0.11,0.00,0.00,0.48,0.00,0.00,0.00,0.00,4.53,2.34,0.00,0.00,0.00,0.00,60.74
Lower Shuswap,Fraser,2004,1156,"2,3,4,5",18.34,0.00,1.64,9.34,3.98,0.78,0.00,0.00,0.00,4.76,0.00,0.00,5.45,0.26,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.00,0.00,11.94,2.77,0.00,0.00,0.00,0.00,39.71
Lower Shuswap,Fraser,2005,824,"2,3,4,5",15.05,0.00,1.82,12.38,5.34,0.36,3.16,0.00,0.00,1.33,0.00,0.00,13.83,0.24,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,7.04,3.64,0.00,0.00,0.00,0.00,35.44
Lower Shuswap,Fraser,2006,1323,"2,3,4,5",11.94,0.00,2.72,13.23,8.16,0.30,0.91,0.00,0.00,1.66,0.00,0.00,9.83,0.23,0.00,0.00,0.00,0.00,0.76,0.00,0.00,0.00,0.00,7.18,3.10,0.00,0.00,0.00,0.83,39.15
