Year,Fishery,FN,Troll,Net,Sport,Other,Total
1975,SEAK,0,"287,342","13,365","17,000",0,"317,707"
1976,SEAK,0,"231,239","10,523","17,000",0,"258,762"
1977,SEAK,0,"271,735","13,443","17,000",0,"302,178"
1978,SEAK,0,"375,919","25,492","17,000",0,"418,411"
1979,SEAK,0,"337,672","28,388","16,581",0,"382,641"
1980,SEAK,0,"303,643","20,114","20,213",0,"343,970"
1981,SEAK,0,"248,782","18,952","21,300",0,"289,034"
1982,SEAK,0,"241,938","46,992","25,756",0,"314,686"
1983,SEAK,0,"269,821","19,516","22,321",0,"311,658"
1984,SEAK,0,"235,622","32,405","22,050",0,"290,077"
1985,SEAK,0,"215,811","33,870","24,858","6,246","280,785"
1986,SEAK,0,"237,703","22,099","22,551","11,091","293,444"
1987,SEAK,0,"242,562","15,532","24,324","17,095","299,513"
1988,SEAK,0,"231,364","21,788","26,160","22,525","301,837"
1989,SEAK,0,"235,716","24,245","31,071","21,510","312,542"
1990,SEAK,0,"287,939","27,712","51,218","45,873","412,742"
1991,SEAK,0,"264,106","34,864","60,492","61,476","420,938"
1992,SEAK,0,"183,759","32,140","42,892","36,811","295,602"
1993,SEAK,0,"226,866","27,991","49,246","32,910","337,013"
1994,SEAK,0,"186,331","35,654","42,365","29,185","293,535"
1995,SEAK,0,"138,117","47,955","49,667","58,800","294,539"
1996,SEAK,0,"141,452","37,298","57,509","81,262","317,521"
1997,SEAK,0,"246,409","25,069","71,524","56,306","399,308"
1998,SEAK,0,"192,066","23,514","55,013","27,441","298,034"
1999,SEAK,0,"146,219","32,720","72,081","52,178","303,198"
2000,SEAK,0,"158,717","41,400","63,173","76,797","340,087"
2001,SEAK,0,"153,280","40,163","72,291","78,815","344,549"
2002,SEAK,0,"325,308","31,689","69,537","69,401","495,935"
2003,SEAK,0,"330,692","39,374","69,370","59,284","498,720"
2004,SEAK,0,"354,658","64,038","80,572","82,249","581,517"
2005,SEAK,0,"338,451","68,176","86,575","104,561","597,763"
2006,SEAK,0,"282,315","67,436","85,794","75,451","510,996"
2007,SEAK,0,"268,146","53,688","82,849","76,414","481,097"
2008,SEAK,0,"151,936","43,127","49,265","71,422","315,750"
2009,SEAK,0,"175,644","48,438","69,565","65,693","359,340"
2010,SEAK,0,"195,620","30,629","58,503","54,141","338,892"
2011,SEAK,0,"242,569","48,230","66,575","66,213","423,587"
2012,SEAK,0,"209,074","39,750","46,495","52,498","347,816"
2013,SEAK,0,"149,541","51,319","56,392","65,864","323,116"
2014,SEAK,0,"355,570","50,010","86,942","57,327","549,850"
2015,SEAK,0,"269,862","53,718","79,759","68,313","471,652"
2016,SEAK,0,"276,432","42,263","68,347","36,338","423,380"
2017,SEAK,0,"129,649","25,097","52,306","31,638","238,691"
2018,SEAK,0,"107,565","30,777","26,400","36,966","201,709"
2019,SEAK,0,"109,364","36,032","29,700","34,789","209,884"
1975,NBC AABM,0,"228,121",0,0,0,"228,121"
1976,NBC AABM,0,"190,267",0,0,0,"190,267"
1977,NBC AABM,0,"130,899",0,106,0,"131,005"
1978,NBC AABM,0,"146,054",0,125,0,"146,179"
1979,NBC AABM,0,"147,576",0,0,0,"147,576"
1980,NBC AABM,0,"157,198",0,200,0,"157,398"
