region,prog_type,project,proj_contact,species,run,stock,stock_CU,stock_CU_name,stat_area,obj,strat_lvl,egg_target,prod_activity,stage,relsite,rel_stat_area,target_no,mark,clip,mark_target,comment
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer In,Fry,Thompson R N,,"10,000",,,,"Fish in excess of 20,000 will be released as fry in Deadman River based on Habitat Capacity calculations"
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer In,Smolt,Thompson R N,,"20,000",,,,
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary,"30,000",Transfer Out,Egg,Thompson R N,,"30,000",,,,"Brood collected at Deadman and transported to Dunn Cr for spawning. 30K eggs reared at Dunn. 20K smolt and 10K fry transferred back to Deadman, acclimatized and released."
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F, Conservation ,Primary, -   ,Release,Fed Fry,Deadman R,29F,"9,000",,,,
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F, Conservation ,Primary, -   ,Release,Smolt 1+,Deadman R,29F,"19,000",,,,
BC Interior,OPS,Gates Sp Ch,WEM - Tenderfoot Creek Hatchery,Sockeye,Summer,Gates Cr,SEL-06-01,ANDERSON/SETON-EARLY SUMMER TIMING,29F, Harvest ,Primary,"27,000,000",Release,Chan Fry,Gates Cr,29F,"13,500,000",,,,Production target is based on adult channel loading capacity and 50% egg to fry survival. Actual production likely to vary.
BC Interior,OPS,Horsefly Sp Ch,WEM - Spius Creek Hatchery,Sockeye,Summer,Horsefly Ch,SEL-06-10,QUESNEL-SUMMER TIMING,29G, Harvest ,Primary,"45,000,000",Release,Chan Fry,Horsefly Ch,29G,"22,500,000",,,,Target based on fully loaded channel.
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,,Primary,"60,000",Transfer Out,Egg,N Okanagan-Shuswap Sch,,700,,,,Schools release directly into Lower Shuswap as fed fry.
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,,Primary, -   ,Transfer Out,Egg,Revelstoke Sch,,300,,,,Schools release directly into Lower Shuswap as fed fry.
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,,Primary, -   ,Transfer Out,Egg,Vernon Sch,,950,,,,Schools release directly into Lower Shuswap as fed fry.
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K, Stewardship ,Primary, -   ,Release,Fed Fry,Shuswap R Low,29K,"50,000",,,,
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate, -   ,Transfer In,Egg,Shuswap R,,"50,000",,,,"If Kingfisher can not obtain their egg target, up to 50K eggs may be transferred from Shuswap hatchery."
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate, -   ,Transfer Out,Egg,Central Okanagan Sch,,"1,100",,,,Alternate to Mission Cr Kokanee eggs (SD #23 - Central -Okanagan)
BC Interior,OPS,Nadina Sp Ch,Babine Project Manager,Sockeye,Summer,Nadina R,SEL-06-20,NADINA/FRANCOIS-EARLY SUMMER TIMING,29I, Harvest ,Primary,"45,000,000",Release,Chan Fry,Nadina R,29I,"22,500,000",,,,Target based on fully loaded channel.
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate,"50,000",Transfer Out,Egg,Kingfisher Cr/TOMF,,"50,000",,,,50K eggs transferred to Kingfisher Interpretive Centre (KIC) if KIC is unable to reach its egg target.
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary, -   ,Release,Smolt 0+,Shuswap R Low,29K,"550,000",Coded Wire Tag,AD,"550,000",
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary, -   ,Release,Smolt 0+,Shuswap R Low,29K, -   ,Parentage-based Tagging,N/A,"550,000",
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary,"630,000",Release,Eyed Egg,Shuswap R Middle,29K,"5,000",Parentage-based Tagging,N/A,"5,000",2019: Experimental study with BC Hydro to look at egg to fry survival above and below Wilsey Dam.  5K eggs planted from Hatchery Middle Shuswap stock.
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary, -   ,Release,Smolt 0+,Shuswap R Middle,29K,"150,000",Coded Wire Tag,AD,"150,000",
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary,"175,000",Release,Smolt 0+,Shuswap R Middle,29K, -   ,Parentage-based Tagging,N/A,"150,000",
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Sockeye,Spring,Stuart R,SEL-06-14,TAKLA/TREMBLEUR-EARLY STUART TIMING,29I, Rebuilding ,Primary,"200,000",Release,Fed Fry,Stuart Lk,29I,"175,000",Parentage-based Tagging,N/A,"175,000","2020.   This is a pilot feasibility project in partnership with the UFFCA.  Will target 200K eggs over 2-4 streams.  The main candidates are Forfar, Narrows, O'Ne-Ell and Gluske creeks.  Gametes will be keep separate and juveniles will be released back into their natal streams."
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Sockeye,Summer,Bowron R,,,29I, Rebuilding ,Primary,"200,000",Release,Fed Fry,Bowron R,29I,"175,000",Parentage-based Tagging,N/A,"175,000",2019 - NEW - This is a proposed feasibility pilot project in co-operation with UFFCA.  Small number (200K egg take).  Logictics and funding are being investigated.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Bonaparte R,CK-17,LOWER THOMPSON_SP_1.2,29F, Conservation ,Primary,"60,000",Release,Fed Fry,Bonaparte R,29F,"50,000",Parentage-based Tagging,N/A,"50,000",2019: Bonaparte identified as a stock of concern for which enhancement can serve as genetic preservation and possible stock rebuilding tool until limiting factors are identified and addressed through strategic rebuilding plans.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary,"95,000",Release,Fed Fry,Coldwater R,29F,"30,000",Parentage-based Tagging,N/A,"30,000",This fry production line is not considered part of the primary release target and only represents the release fry in excess of smolt targets due higher than expected egg to fry survival or excess fry after disease screening.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary, -   ,Release,Fed Fry,Coldwater R,29F, -   ,Thermal,N/A,"30,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary, -   ,Release,Smolt 1+,Coldwater R,29F,"55,000",Parentage-based Tagging,N/A,"55,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary, -   ,Release,Smolt 1+,Coldwater R,29F, -   ,Thermal,N/A,"55,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F, Assessment ,Primary, -   ,Release,Smolt 1+,Nicola R,29F,"200,000",Coded Wire Tag,AD,"200,000","Production is set to increase to 300k, but is contingent on available rearing space as it relates to Big Bar considerations."
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F, Assessment ,Primary, -   ,Release,Smolt 1+,Nicola R,29F, -   ,Parentage-based Tagging,N/A,"200,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F, Assessment ,Primary,"260,000",Release,Fed Fry,Spahomin Cr,29F,"50,000",Parentage-based Tagging,N/A,"50,000",This fry production line is not considered part of the primary release target and only represents the release fry in excess of smolt targets due higher than expected egg to fry survival or excess fry after disease screening.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K, Rebuilding ,Primary, -   ,Release,Fed Fry,Salmon R/TOMF,29K,"70,000",Parentage-based Tagging,N/A,"70,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K, Rebuilding ,Primary,"80,000",Release,Fed Fry,Salmon R/TOMF,29K, -   ,Thermal,N/A,"70,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Spius Cr,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary, -   ,Release,Fed Fry,Spius Cr,29F,"55,000",Parentage-based Tagging,N/A,"55,000","2017: 	Release strategy changed from 55,000 yearling smolt release to 55,000 fed fry release. Change was required to allow for sufficient rearing space for indicator stocks."
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Spius Cr,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary,"65,000",Release,Fed Fry,Spius Cr,29F, -   ,Thermal,N/A,"55,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary,"155,000",Transfer Out,Egg,Car-Chilc (Williams) Sch,,300,,,,
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary, -   ,Transfer Out,Fry,Chehalis R,,"50,000",,,,"2019: Until Snootli Hatchery can accommodate Chilko rearing, Chilko smolts will be reared at Chehalis and Inch Hatcheries (50K at each)."
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary, -   ,Transfer Out,Fry,Inch Cr,,"50,000",,,,"2019: Until Snootli Hatchery can accommodate Chilko rearing, Chilko smolts will be reared at Chehalis and Inch Hatcheries (50K at each)."
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G, Assessment ,Primary, -   ,Release,Fed Fry,Chilko R,29G,"50,000",Coded Wire Tag,AD,"50,000","2019: request from STAD for increased production of fry with smolt release remaining at 95K.  Egg target may be further increased to accommodate this, if facility space is available."
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G, Assessment ,Primary, -   ,Release,Fed Fry,Chilko R,29G, -   ,Parentage-based Tagging,N/A,"50,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Nahatlatch R,CK-8,MIDDLE FRASER-FRASER CANYON_SP_1.3,29F, Conservation ,Primary,"60,000",Release,Fed Fry,Nahatlatch R,29F,"50,000",Parentage-based Tagging,N/A,"50,000",2019: Nahatlatch identifed as a stock of concern for which enhancement can serve as genetic preservation and possible stock rebuilding tool until limiting factors are identified and addessed through strategic rebuilding plans.  Field operation funding still needs to be identified.
