Stock,Year,Statistical Area(s), Enhanced Catch , Total Catch By Area ,% Enhanced Contribution
Big Qualicum R,1980,"12,13","24,674","722,195",3.4
Big Qualicum R,1980,14,"73,066","85,906",85.1
Big Qualicum R,1980,20,"1,043","61,305",1.7
Big Qualicum R,1981,14,"46,206","52,702",87.7
Big Qualicum R,1982,"12,13","73,927","1,163,716",6.4
Big Qualicum R,1982,14,"131,861","197,325",66.8
Big Qualicum R,1982,17,"1,726","36,028",4.8
Big Qualicum R,1983,14,"100,422","123,456",81.3
Big Qualicum R,1984,14,"149,880","164,134",91.3
Big Qualicum R,1985,"12,13","84,161","566,206",14.9
Big Qualicum R,1985,14,"324,785","526,381",61.7
Big Qualicum R,1986,"12,13","155,637","1,230,386",12.6
Big Qualicum R,1986,14,"177,701","370,010",48
Big Qualicum R,1987,"12,13","10,716","98,759",10.9
Big Qualicum R,1987,14,"129,385","352,417",36.7
Big Qualicum R,1987,"18,19","2,411","5,440",44.3
Big Qualicum R,1988,"12,13","99,699","1,098,792",9.1
Big Qualicum R,1988,14,"14,317","38,679",37
Big Qualicum R,1988,"17,18",208,"78,571",0.3
Big Qualicum R,1988,21,"4,818","1,821,644",0.3
Big Qualicum R,1989,"12,13","41,780","477,803",8.7
Big Qualicum R,1989,14,"48,581","98,482",49.3
Big Qualicum R,1989,20,239,"20,713",1.2
Big Qualicum R,1989,21,854,"294,692",0.3
Blaney Cr/LWFR,1980,"12,13",713,"722,195",0.1
Blaney Cr/LWFR,1980,20,40,"61,305",0.1
Blaney Cr/LWFR,1980,29,261,"76,985",0.3
Blaney Cr/LWFR,1981,"12,13",232,"98,561",0.2
Blaney Cr/LWFR,1981,20,28,"8,267",0.3
Blaney Cr/LWFR,1981,29,17,"8,654",0.2
Blaney Cr/LWFR,1982,"12,13",527,"1,163,716",0
Blaney Cr/LWFR,1982,20,20,"14,524",0.1
Blaney Cr/LWFR,1982,29,122,"63,187",0.2
Blaney Cr/LWFR,1983,"12,13",56,"131,527",0
Blaney Cr/LWFR,1983,29,5,"7,913",0.1
Chehalis R,1985,"12,13","1,357","566,206",0.2
Chehalis R,1985,14,61,"526,381",0
Chehalis R,1985,21,21,"1,609,365",0
Chehalis R,1985,29,301,"52,026",0.6
Chehalis R,1986,"12,13","5,349","1,230,386",0.4
Chehalis R,1986,14,167,"370,010",0
Chehalis R,1986,"25,26",51,"144,093",0
Chehalis R,1986,29,"1,003","98,736",1
Chehalis R,1987,"12,13",363,"98,759",0.4
Chehalis R,1987,14,95,"352,417",0
Chehalis R,1987,21,27,"395,413",0
Chehalis R,1987,29,41,"10,015",0.4
Chehalis R,1988,"12,13","12,264","1,098,792",1.1
Chehalis R,1988,14,620,"38,679",1.6
Chehalis R,1988,"17,18",26,"78,571",0
Chehalis R,1988,21,"2,021","1,821,644",0.1
Chehalis R,1988,29,"3,586","86,770",4.1
Chehalis R,1989,"12,13","42,318","477,803",8.9
Chehalis R,1989,20,933,"20,713",4.5
Chehalis R,1989,21,"3,388","294,692",1.1
Chehalis R,1989,29,"3,947","24,551",16.1
Harrison R,1985,"12,13","4,674","566,206",0.8
Harrison R,1985,14,59,"526,381",0
Harrison R,1985,21,203,"1,609,365",0
Harrison R,1985,29,829,"52,026",1.6
Harrison R,1986,"12,13","28,488","1,230,386",2.3
Harrison R,1986,14,"1,633","370,010",0.4
Harrison R,1986,"25,26",498,"144,093",0.3
Harrison R,1986,29,"6,274","98,736",6.4
Harrison R,1987,"12,13",95,"98,759",0.1
Harrison R,1987,14,432,"352,417",0.1
Harrison R,1987,21,875,"395,413",0.2
Harrison R,1987,29,399,"10,015",4
Harrison R,1988,"12,13","29,796","1,098,792",2.7
Harrison R,1988,"17,18",909,"78,571",1.2
Harrison R,1988,21,"1,630","1,821,644",0.1
Harrison R,1988,29,"8,556","86,770",9.9
Harrison R,1989,"12,13","2,771","477,803",0.6
Harrison R,1989,29,897,"24,551",3.7
Squakum Cr,1985,"12,13",683,"566,206",0.1
Squakum Cr,1985,14,23,"526,381",0
Squakum Cr,1985,21,97,"1,609,365",0
Squakum Cr,1985,29,239,"52,026",0.5
Squakum Cr,1986,"12,13","7,169","1,230,386",0.6
Squakum Cr,1986,14,449,"370,010",0.1
Squakum Cr,1986,"25,26",237,"144,093",0.2
Squakum Cr,1986,29,"1,041","98,736",1.1
Squakum Cr,1987,14,239,"352,417",0.1
Squakum Cr,1987,21,125,"395,413",0
Squakum Cr,1987,29,190,"10,015",1.9
Squakum Cr,1988,"12,13","17,517","1,098,792",1.6
Squakum Cr,1988,14,155,"38,679",0.4
