Stock,Year,Statistical Area(s), Expanded Catch , Total Catch By Area ,Enhanced % Catch
Big Qualicum R,1990,"12,13","173,840.13","1,185,359",14.7
Big Qualicum R,1990,14,"37,350.75","145,566",25.7
Big Qualicum R,1990,"18,19","2,915.64","107,437",2.7
Big Qualicum R,1990,29,"5,114.33","113,510",4.5
Big Qualicum R,1991,"12,13","14,321.79","230,149",6.2
Big Qualicum R,1991,14,"119,636.01","269,140",44.5
Big Qualicum R,1991,17,653.58,"16,578",3.9
Big Qualicum R,1991,"18,19","2,164.65","154,262",1.4
Big Qualicum R,1991,29,"3,425.42","61,007",5.6
Big Qualicum R,1992,"12,13","245,947.81","1,346,917",18.3
Big Qualicum R,1992,14,"148,450.29","429,110",34.6
Big Qualicum R,1992,17,"5,557.85","21,096",26.3
Big Qualicum R,1992,"18,19","12,751.77","84,732",15
Big Qualicum R,1992,29,"3,404.68","50,996",6.7
Big Qualicum R,1993,"12,13","169,554.72","1,261,372",13.4
Big Qualicum R,1993,14,"116,977.17","381,261",30.7
Big Qualicum R,1993,"15,16","12,999.34","119,031",10.9
Big Qualicum R,1993,17,678.11,"18,021",3.8
Big Qualicum R,1993,"18,19","2,459.79","80,202",3.1
Big Qualicum R,1993,29,"5,687.88","80,007",7.1
Big Qualicum R,1993,"7,8,9",852.75,"288,982",0.3
Big Qualicum R,1994,"12,13","65,503.70","1,267,961",5.2
Big Qualicum R,1994,14,"83,753.93","368,839",22.7
Big Qualicum R,1994,"7,8,9","2,096.76","694,489",0.3
Big Qualicum R,1995,"12,13","14,107.30","259,087",5.4
Big Qualicum R,1995,14,333.25,"18,297",1.8
Big Qualicum R,1996,"12,13","1,622.36","82,167",2
Big Qualicum R,1997,"12,13","2,945.94","97,880",3
Big Qualicum R,1998,"12,13","102,696.88","1,433,772",7.2
Big Qualicum R,1998,14,"130,140.55","562,617",23.1
Big Qualicum R,1999,"12,13","1,473.67","40,321",3.7
Big Qualicum R,1999,29,767.91,"43,591",1.8
Big Qualicum R,2000,"12,13",530.59,"179,650",0.3
Big Qualicum R,2001,"12,13","1,765.94","183,351",1
Big Qualicum R,2001,14,"2,531.97","49,865",5.1
Big Qualicum R,2001,21,62.55,"168,451",0
Big Qualicum R,2002,"12,13","32,786.61","568,444",5.8
Big Qualicum R,2002,14,"15,416.26","191,621",8
Big Qualicum R,2002,29,144.74,"46,636",0.3
Big Qualicum R,2003,"12,13","7,704.91","829,340",0.9
Big Qualicum R,2004,"12,13","3,687.04","919,381",0.4
Big Qualicum R,2004,14,"2,940.63","98,404",3
Big Qualicum R,2005,"12,13","10,982.32","809,474",1.4
Big Qualicum R,2005,14,"2,050.50","30,062",6.8
Big Qualicum R,2006,"12,13","8,097.84","817,017",1
Big Qualicum R,2006,29,"1,016.46","181,453",0.6
Big Qualicum R,2007,"12,13","3,101.28","441,799",0.7
Big Qualicum R,2007,14,374.15,"25,412",1.5
Big Qualicum R,2008,"12,13",747.8,"278,654",0.3
Big Qualicum R,2009,"12,13","2,634.62","446,001",0.6
Big Qualicum R,2010,"12,13","2,460.23","61,310",4
Big Qualicum R,2011,"12,13","2,711.50","646,517",0.4
Big Qualicum R,2011,14,"18,473.75","452,128",4.1
Big Qualicum R,2012,"12,13","7,398.52","365,088",2
Big Qualicum R,2012,14,251.15,"14,070",1.8
Big Qualicum R,2013,"12,13",3013.38,"593,531",0.5
Big Qualicum R,2013,14,"1,003.60","30,873",3.3
Big Qualicum R,2014,"12,13","3,292.76","345,178",1
Big Qualicum R,2016,"12,13","84,313.64","1,309,466",6.4
Bish Cr,1990,6,"1,404.78","153,292",0.9
Bish Cr,1991,6,288.24,"50,747",0.6
Bish Cr,1992,"3,4,5",20.89,"240,412",0
Bish Cr,1992,6,133.52,"42,227",0.3
Bish Cr,1993,6,126.17,"11,601",1.1
Bish Cr,1993,"7,8,9",137.79,"288,982",0
Bish Cr,1994,6,713.74,"75,143",0.9
Bish Cr,1994,"7,8,9",145.19,"694,489",0
Bish Cr,1994,"8,9,10",164.49,,
Bish Cr,1995,6,266.64,"27,811",1
Bish Cr,1996,6,259.06,"29,748",0.9
Blaney Cr/LWFR,1990,"12,13","1,050.47","1,185,359",0.1
Blaney Cr/LWFR,1990,29,440.02,"113,510",0.4
Blaney Cr/LWFR,1991,"12,13",96.31,"230,149",0
Blaney Cr/LWFR,1991,17,9.82,"16,578",0.1
Blaney Cr/LWFR,1991,29,125.92,"61,007",0.2
Canton Cr,1992,"25,26","1,855.00","152,130",1.2
Canton Cr,1993,"25,26","1,751.81","117,096",1.5
Canton Cr,1994,1,10.41,"13,962",0.1
Canton Cr,1994,"12,13",18.47,"1,267,961",0
Canton Cr,1994,"25,26","1,678.40","197,947",0.8
Canton Cr,1995,"25,26",186.68,"27,784",0.7
Canton Cr,1997,"25,26","4,026.66","89,072",4.5
Canton Cr,1998,"25,26","1,947.99","101,722",1.9
Canton Cr,1999,21,14.53,"96,879",0
Canton Cr,1999,"25,26","1,419.44","104,245",1.4
Canton Cr,2000,"25,26",829.6,"27,226",3
Canton Cr,2001,"25,26","5,300.54","69,311",7.6
Canton Cr,2003,"25,26","3,036.88","109,042",2.8
Cheakamus R,1997,"12,13",2.94,"97,880",0
