Stock,Recovery Type,Year,Age 2,Age 3,Age 4,Age 5,Age 6,Total,% Age 2,% Age 3,% Age 4,% Age 5,% Age 6
Alouette R,Escapement,1985,,11,,,,11,0,100,0,0,0
Big Qualicum R,Catch,1980,,"35,304","62,749",921,,"98,974",0,35.7,63.4,0.9,0
Big Qualicum R,Catch,1981,,"6,270","38,671","1,375",,"46,316",0,13.5,83.5,3,0
Big Qualicum R,Catch,1982,,"49,145","151,703","6,906",,"207,754",0,23.7,73,3.3,0
Big Qualicum R,Catch,1983,,"9,109","78,996","12,500",,"100,605",0,9.1,78.5,12.4,0
Big Qualicum R,Catch,1984,,"76,191","60,533","13,177",,"149,901",0,50.8,40.4,8.8,0
Big Qualicum R,Catch,1985,,"153,089","253,423","3,158",,"409,670",0,37.4,61.9,0.8,0
Big Qualicum R,Catch,1986,,"41,474","278,335","14,311",,"334,120",0,12.4,83.3,4.3,0
Big Qualicum R,Catch,1987,,"4,342","121,133","18,436",,"143,911",0,3,84.2,12.8,0
Big Qualicum R,Catch,1988,,730,"79,723","38,625","1,744","120,822",0,0.6,66,32,1.4
Big Qualicum R,Catch,1989,,"13,916","55,342","24,236",,"93,494",0,14.9,59.2,25.9,0
Big Qualicum R,Catch,1990,,"2,299","214,700","7,482",50,"224,531",0,1,95.6,3.3,0
Big Qualicum R,Catch,1991,,"4,159","72,764","65,886",,"142,809",0,2.9,51,46.1,0
Big Qualicum R,Catch,1992,,"5,844","392,959","25,357","1,895","426,055",0,1.4,92.2,6,0.4
Big Qualicum R,Catch,1993,,"11,715","179,019","151,017",878,"342,629",0,3.4,52.2,44.1,0.3
Big Qualicum R,Catch,1994,,"14,001","116,178","31,708","5,279","167,166",0,8.4,69.5,19,3.2
Big Qualicum R,Catch,1995,,"1,451","7,871","8,164",,"17,486",0,8.3,45,46.7,0
Big Qualicum R,Catch,1996,,"1,720",,,,"1,720",0,100,0,0,0
Big Qualicum R,Catch,1997,,159,"3,468",,,"3,627",0,4.4,95.6,0,0
Big Qualicum R,Catch,1998,101,"16,019","225,233","20,172",,"261,525",0,6.1,86.1,7.7,0
