Stock,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Big Qualicum R,-31.29,18.4,48.98,41.58,62.17,61.28,-7.51,-3.48,30,49.5,53.7,58.07,70.85,70.3,70.39,34.35,66.31,71.71,61.89,50.48,48.91,83.62,80.95,91.34,81.39,-30.42,71.6,-12.12,
Blaney Cr/LWFR,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheakamus R,,,,,,,,30,30,30,30,,,,,,,,,,,,,,,,,,
Chehalis R,0,30,0,0,15,0,30,30,0,30,30,30,30,30,,,,,,,,,,,,,,,
Chehalis+ Squakum,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilliwack R,-12.22,30,30,30,0,30,30,15,0,30,30,30,30,,,,,,,,,30,,,,,,,
Conuma R,30,30,30,30,30,30,30,0,0,30,30,30,,30,,,,,,,,,,,,,,,
Deserted R/NWVI,,30,30,30,30,30,,,,,30,30,,30,,,,,,,,,,,,,,,
Fish Cr+Airport Ch,30,,,,,,,,,,,30,30,30,30,30,,,,,,,,,,,,,
Harrison R,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hirsch Cr,,30,30,30,30,30,30,30,30,30,,30,30,30,30,,,,,,,,,,,,,,
Inch Cr,30,30,30,30,0,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,
Kildala R,30,30,30,30,30,,,,30,30,30,30,30,,,,,,,,,,,,,,,,
Kildala+Dala,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimsquit R,,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,
Kitasoo Cr,,,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,
Kitimat Low+Hirsch,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitimat R,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,
Kumealon Cr,,,,,,,,,,,,,,,,,,,,,,30,30,30,,,,,
Kwakusdis R,,,,,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,
L Qualicum R,-16.37,30,30,30,30,0,30,30,,,,,30,30,30,30,30,30,,,,,,,,,,,
Lang Cr,,,,,,,,30,30,,30,30,,,,,,,,,,,,,,,,,
Mathers Cr,0,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,
McLoughlin Bay Cr,30,30,30,30,30,30,30,,,30,30,30,30,,,,,,,,,,,,,30,30,,
Necleetsconnay R,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,
Nimpkish R Low,,,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,
Nitinat R,0,30,30,30,30,30,30,30,30,30,30,0,,,,,,,,,,,,,,,,,
Orford R,,,,,,30,30,30,30,30,,,,,,,,,,,,,,,,,,,
Pallant Cr,15,30,15,30,30,30,30,0,0,30,30,30,30,,,,,,,,,,,,,,,,
Pitt R Up,,,,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,
Puntledge R,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,
Saloompt R,30,30,30,30,,,30,30,30,30,,,,,30,30,30,30,30,,,,,,,,,,
Sliammon R,30,,,,,,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,
Snootli Cr,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Stave R,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,
Sucwoa R,30,30,30,30,30,30,30,30,30,30,30,30,,30,,,,,,,,,,,,,,,
Sugsaw Cr,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,
Tenderfoot Cr,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,
Theodosia Cr,,,,,,,,,,,,,,,,30,30,30,,,,,,,,,,,
Thorsen Cr/CCST,30,30,,,,,,,30,30,30,30,30,30,,,,,,,,,,,,,,,
Tlupana R,30,30,30,,,,,30,30,30,30,30,,,,,,,,,,,,,,,,,
