FISHERY,ESTIMATE_TYPE,LICENCE_AREA,CALENDAR_YEAR,MGMT_AREA,BOAT_DAYS,SOCKEYE_KEPT,COHO_KEPT,PINK_KEPT,CHUM_KEPT,CHINOOK_KEPT,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1996,1,47,161,62,373,856,3,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1996,2,154,18,596,274,"36,047",1,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1996,3,"5,299","508,731","25,441","182,446","98,104","5,942",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1996,4,"14,324","2,480,247","49,219","411,840","107,099","19,946",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1996,5,622,"63,907","5,440","18,867","8,543",161,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1996,6,32,838,120,"1,381",662,48,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1996,7,289,156,680,"3,376","26,364",11,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1996,8,"1,942","21,025","10,187","46,259","211,915","6,395",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1996,10,191,"8,700",433,513,"1,310",30,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1996,11,34,"6,487",192,449,91,2,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1996,12,670,"64,078","2,687","5,099","4,755",70,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1996,13,172,"20,381",251,288,"1,031",251,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1996,21,"1,691",9,348,0,"99,511",54,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1996,29,,"704,581",265,29,354,"4,171",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1997,1,558,"120,616","4,896","46,887","20,115",656,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1997,2,186,156,380,244,"18,891",6,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1997,3,"2,767","249,759","5,453","41,401","30,841","3,273",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1997,4,"9,593","1,015,155","16,395","260,105","56,500","14,618",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1997,5,269,"16,690","1,614","6,973","5,313",140,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1997,6,125,"4,925",814,"14,259","4,451",35,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1997,7,266,167,709,"1,483","20,957",3,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1997,8,"1,598","7,713","3,240","83,393","185,745","2,784",
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1997,11,666,"133,273",523,"10,776",928,155,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1997,12,"4,214","677,091","4,388","61,652","5,016",583,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1997,13,463,"76,877",181,"4,097",301,88,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1997,16,7,325,0,15,0,1,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1997,20,129,"9,349",39,448,32,105,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1997,21,"1,945",118,87,112,"220,361",57,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1997,23,697,"52,241",47,12,12,50,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1997,25,333,10,78,0,"86,733",89,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1997,29,,"1,286,945",318,"162,590","12,107","24,239",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1998,1,11,0,0,680,"1,412",0,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1998,2,166,0,0,493,"29,999",1,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1998,3,"1,850","131,004",3,"58,152","79,629","2,483",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1998,4,"1,618","88,443",0,"15,516","17,769","3,528",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1998,5,72,"3,372",0,"1,339","1,599",28,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1998,6,"1,071","14,067",0,"53,665","230,919",242,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1998,7,220,25,0,302,"28,118",0,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1998,8,"2,132","8,533",0,"42,943","299,998","4,771",
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1998,12,840,"146,556",0,"11,166","72,433",52,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1998,13,236,"14,016",0,955,"26,992",5,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1998,14,225,0,0,0,"35,024",11,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1998,16,10,0,0,0,323,0,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1998,17,17,0,0,0,333,0,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1998,18,20,0,0,0,441,0,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1998,21,"1,688",6,64,0,"170,799",8,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1998,23,702,"59,356",0,15,8,144,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1998,25,324,61,0,0,"111,583",40,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1998,29,,"261,454",0,481,"5,667","4,807",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1999,1,4,5,2,16,"1,199",0,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1999,2,218,13,"2,135",0,"39,700",0,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1999,3,"5,214","334,106",0,"436,546","29,218","4,235",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1999,4,236,12,0,0,0,"4,412",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1999,6,527,"6,288",0,"9,869","32,894",236,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1999,7,237,268,143,"1,110","16,503",29,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,1999,8,"2,153","2,796",0,"9,828","135,968","4,077",
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1999,12,486,"27,662",3,"1,116",236,121,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1999,13,62,"3,736",0,169,15,4,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1999,21,"1,999",1,80,44,"121,678",7,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1999,23,827,"57,196",14,30,16,41,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,1999,25,598,11,18,21,"89,681",32,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,1999,29,189,0,0,18,"35,969",39,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2000,1,5,374,0,251,242,0,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2000,2,262,362,"1,766","13,942","64,199",4,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2000,3,"3,323","257,250",0,"219,970","26,087","3,069",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2000,4,"7,168","1,261,773",2,"42,606","20,519","16,564",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2000,5,251,"19,749",0,"9,347","2,660",76,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2000,6,175,"6,728",0,"49,839","8,081",5,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2000,7,146,17,457,"1,009","18,416",0,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2000,8,883,"1,963",0,"43,807","43,373","3,193",
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2000,12,"1,367","120,520",157,"120,146","9,297",0,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2000,13,334,"27,117",22,"3,745","2,649",0,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2000,14,2,,,,,,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2000,21,650,0,231,0,"7,303",6,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2000,23,205,"16,386",1,2,3,19,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2000,25,297,28,17,0,"19,530",0,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2000,29,"2,037","403,234",1,30,"5,791","4,465",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2001,2,69,0,114,0,"8,901",1,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2001,3,"1,553","127,562",0,"43,532","11,240","3,294",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2001,4,"8,192","1,438,741",0,"166,376","13,941","19,342",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2001,5,125,"10,163",0,"4,782","3,472",33,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2001,6,389,"6,750",0,"30,048","34,913",399,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2001,7,679,178,134,"5,783","67,158","1,445",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2001,8,"2,007","1,351",0,"97,372","251,686","4,621",
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2001,11,116,"14,868",0,"1,729",630,11,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2001,12,916,"66,811",0,"16,291","17,725",195,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2001,13,238,"14,927",0,"1,140","5,851",20,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2001,14,670,0,13,0,"52,677",3,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2001,16,15,0,0,0,"7,680",0,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2001,17,43,0,0,0,"1,365",0,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2001,18,118,0,0,0,"17,149",0,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2001,20,1,,,,,,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2001,21,404,0,37,1,"69,904",0,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2001,23,279,"47,307",7,0,4,6,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2001,25,351,1,30,2,"62,247",5,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2001,29,326,"7,326",15,0,"32,847",58,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2001,121,8,0,0,0,"1,318",0,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2002,1,2,,,,,,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2002,2,135,0,413,593,"7,443",0,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2002,3,"4,377","654,868",0,"255,773","39,942","5,100",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2002,4,"5,378","485,535",0,"119,429","12,677","8,400",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2002,5,62,"3,859",0,777,980,14,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2002,6,763,"7,638",3,"22,844","126,425",84,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2002,7,408,39,333,918,"75,731",7,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2002,8,"1,663","2,529",0,"30,097","267,004","4,585",
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2002,11,104,"14,082",10,"4,363","1,719",24,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2002,12,956,"172,085",89,"32,488","58,742",420,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2002,13,214,"34,171",25,"1,561","35,596",63,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2002,14,498,0,4,0,"121,303",16,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2002,17,15,0,0,0,305,0,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2002,18,66,0,0,0,"7,991",0,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2002,19,0,0,0,0,0,0,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2002,21,375,1,0,0,"80,738",0,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2002,23,980,"131,661","1,082",2,12,237,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2002,25,425,1,2,0,"124,384",1,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2002,29,"1,935","919,540",83,40,"48,825","4,450",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2003,2,36,0,420,0,"4,908",0,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2003,3,"5,187","567,188",4,"678,614","64,153","5,007",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2003,4,"3,679","371,575",0,"204,450","10,308","8,385",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2003,5,39,"6,404",0,"2,768","1,285",9,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2003,6,465,790,0,"22,233","131,452",7,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2003,7,565,165,267,734,"86,004",2,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2003,8,"2,129","5,213",0,"45,862","496,918","2,794",
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2003,11,81,"8,882",0,"2,271",913,16,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2003,12,"1,522","142,203",55,"28,503","104,394",182,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2003,13,631,"21,215",40,"2,342","108,823",30,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2003,14,393,0,0,0,"52,565",9,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2003,17,28,0,0,0,"3,247",0,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2003,21,613,0,0,3,"185,086",0,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2003,23,"1,517","148,968","4,969",11,3,"5,257",
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2003,25,423,0,"1,397",0,"106,187","3,980",
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2003,29,"1,165","214,402",18,"14,389","45,345","4,702",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2004,2,102,0,404,15,"20,511",1,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2004,3,"4,861","310,624",920,"240,946","82,980","6,414",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2004,4,"2,622","124,729",0,"77,151","11,173","4,662",
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2004,5,115,"5,351",0,"5,139","3,587",21,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2004,6,"1,022","3,485",0,"15,602","150,230",95,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2004,7,735,237,"3,507",984,"115,103",54,
SALMON GILL NET,POST-SEASON,AREA C - SALMON GILL NET,2004,8,"2,691","3,095","11,470","15,747","538,642","5,231",
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2004,11,99,"23,840",0,"3,842",567,32,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2004,12,"1,093","120,705",8,"27,621","101,183",305,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2004,13,666,"16,307",0,"2,830","92,126",37,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2004,14,436,0,0,0,"97,243",0,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2004,17,101,0,0,0,"9,334",0,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2004,18,106,0,0,0,"18,265",0,
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2004,21,690,0,4,0,"162,933",2,
