Year,Month,STATUS,PUBLISHED_DATE,PFMA,DISPOSITION,SPECIES,SPECIES_CODE,SCIENTIFIC_NAME,PIECE,STANDARD_ERROR,PERCENT_STANDARD_ERROR
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 13,Kept,UNKNOWN FISH,9XX,UNKNOWN FISH,1168,271.057,0.232
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 13,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,36083,5618.016,0.156
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 13,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,8289,1484.773,0.179
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 13,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,12135,1652.408,0.136
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 13,Kept,LINGCOD,467,OPHIODON ELONGATUS,7118,874.016,0.123
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 13,Kept,NORTH PACIFIC SPINY DOGFISH,044,SQUALUS SUCKLEYI,21,9,0.429
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 14,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,7320,844.894,0.115
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 14,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,21436,2438.937,0.114
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 14,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,9610,1090.211,0.113
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 14,Kept,LINGCOD,467,OPHIODON ELONGATUS,3441,469.866,0.137
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 14,Kept,NORTH PACIFIC SPINY DOGFISH,044,SQUALUS SUCKLEYI,581,329.245,0.567
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 14,Kept,UNKNOWN FISH,9XX,UNKNOWN FISH,583,389.487,0.668
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 15,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,2473,479.713,0.194
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 15,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,822,212.497,0.259
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 15,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,1299,271.437,0.209
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 15,Kept,LINGCOD,467,OPHIODON ELONGATUS,1518,283.549,0.187
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 15,Kept,UNKNOWN FISH,9XX,UNKNOWN FISH,31,9.165,0.296
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 16,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,14618,1233.864,0.084
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 16,Kept,UNKNOWN FISH,9XX,UNKNOWN FISH,21,7.28,0.347
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 16,Kept,NORTH PACIFIC SPINY DOGFISH,044,SQUALUS SUCKLEYI,167,93,0.557
1981,August,Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,"MAY      18, 2021 14:22:10",PFMA 16,Kept,LINGCOD,467,OPHIODON ELONGATUS,1501,159.931,0.107
